year,week,date,home_team,home_conference,home_points,away_team,away_conference,away_points,significance,home_rank,away_rank,outlet
2013,3,2013-09-14 19:30:00+00:00,Oregon,Pac-12,59,Tennessee,SEC,14,ranked_matchup,2.0,,ABC
2013,3,2013-09-14 19:30:00+00:00,Texas A&M,SEC,42,Alabama,SEC,49,ranked_matchup,6.0,1.0,CBS
2013,3,2013-09-14 19:30:00+00:00,Florida State,ACC,62,Nevada,Mountain West,7,ranked_matchup,10.0,,ESPNM
2013,3,2013-09-14 22:00:00+00:00,Illinois,Big Ten,24,Washington,Pac-12,34,ranked_matchup,,19.0,BTN
2013,3,2013-09-14 23:00:00+00:00,South Carolina,SEC,35,Vanderbilt,SEC,25,ranked_matchup,13.0,,ESPNM
2013,3,2013-09-14 23:00:00+00:00,LSU,SEC,45,Kent State,Mid-American,13,ranked_matchup,8.0,,ESPNU
2013,3,2013-09-14 23:00:00+00:00,California,Pac-12,34,Ohio State,Big Ten,52,ranked_matchup,,4.0,FOX
2013,3,2013-09-14 23:30:00+00:00,Oklahoma State,Big 12,59,Lamar,Southland,3,ranked_matchup,12.0,,
2013,3,2013-09-15 00:00:00+00:00,Purdue,Big Ten,24,Notre Dame,FBS Independents,31,ranked_matchup,,21.0,ABC
2013,3,2013-09-15 00:00:00+00:00,Texas,Big 12,23,Ole Miss,SEC,44,ranked_matchup,,25.0,LHN
2013,3,2013-09-15 01:00:00+00:00,Northwestern,Big Ten,38,Western Michigan,Mid-American,17,ranked_matchup,17.0,,BTN
2013,3,2013-09-15 02:30:00+00:00,Arizona State,Pac-12,32,Wisconsin,Big Ten,30,ranked_matchup,,20.0,ESPNM
2013,4,2013-09-19 23:30:00+00:00,NC State,ACC,14,Clemson,ACC,26,ranked_matchup,,3.0,ESPNM
2013,4,2013-09-21 16:00:00+00:00,Ohio State,Big Ten,76,Florida A&M,MEAC,0,ranked_matchup,4.0,,BTN
2013,4,2013-09-21 16:00:00+00:00,Louisville,American Athletic,72,Florida International,Conference USA,0,ranked_matchup,7.0,,ESGP
2013,4,2013-09-21 16:21:00+00:00,Georgia,SEC,45,North Texas,Conference USA,21,ranked_matchup,9.0,,ESGP
2013,4,2013-09-21 19:00:00+00:00,Washington,Pac-12,56,Idaho State,Big Sky,0,ranked_matchup,17.0,,PAC12
2013,4,2013-09-21 19:30:00+00:00,Northwestern,Big Ten,35,Maine,CAA,21,ranked_matchup,18.0,,BTN
2013,4,2013-09-21 19:30:00+00:00,Florida,SEC,31,Tennessee,SEC,17,ranked_matchup,19.0,,ESPNRM
2013,4,2013-09-21 19:30:00+00:00,Notre Dame,FBS Independents,17,Michigan State,Big Ten,13,ranked_matchup,22.0,,NBC
2013,4,2013-09-21 19:30:00+00:00,Wisconsin,Big Ten,41,Purdue,Big Ten,10,ranked_matchup,24.0,,ESPN2
