year,team,conference,division,total_games,total_wins,total_losses,conference_games,conference_wins,conference_losses,home_games,home_wins,home_losses,away_games,away_wins,away_losses,expected_wins
2000,Virginia,ACC,,12,6,6,8,5,3,6,4,2,5,2,3,
2000,Virginia Tech,Big East,,12,11,1,7,6,1,6,6,0,5,4,1,
2000,Washington,Pac-10,,12,11,1,8,7,1,6,6,0,5,4,1,
2000,Washington State,Pac-10,,11,4,7,8,2,6,6,1,5,5,3,2,
2000,Wisconsin,Big Ten,,13,9,4,8,4,4,7,4,3,5,4,1,
2000,Marshall,Mid-American,East,13,8,5,9,6,3,5,4,1,6,2,4,
2000,West Virginia,Big East,,12,7,5,7,3,4,7,4,3,4,2,2,
2000,Fresno State,Western Athletic,,12,7,5,8,6,2,5,5,0,6,2,4,
2000,Louisiana,FBS Independents,,11,1,10,3,1,2,5,0,5,6,1,5,
2000,Utah State,Big West,,11,5,6,5,4,1,5,3,2,6,2,4,
2000,Alabama,SEC,West,11,3,8,8,3,5,6,3,3,5,0,5,
2000,Mississippi State,SEC,West,12,8,4,8,4,4,5,4,1,6,3,3,
2000,Army,Conference USA,,11,1,10,7,1,6,5,1,4,6,0,6,
2000,Illinois,Big Ten,,11,5,6,8,2,6,6,4,2,5,1,4,
2000,Air Force,Mountain West,,12,9,3,7,5,2,6,5,1,5,3,2,
2000,Akron,Mid-American,East,11,6,5,8,5,3,6,3,3,5,3,2,
2000,Arkansas State,Big West,,11,1,10,5,1,4,5,1,4,6,0,6,
2000,Ball State,Mid-American,West,11,5,6,7,4,3,5,2,3,6,3,3,
2000,Buffalo,Mid-American,East,11,2,9,8,2,6,5,2,3,6,0,6,
2000,UCF,FBS Independents,,11,7,4,2,2,0,5,4,1,6,3,3,
2000,Central Michigan,Mid-American,West,11,2,9,8,2,6,5,2,3,6,0,6,
2000,Cincinnati,Conference USA,,12,7,5,7,5,2,6,6,0,5,1,4,
2000,Eastern Michigan,Mid-American,West,11,3,8,7,2,5,6,3,3,5,0,5,
2000,Iowa,Big Ten,,12,3,9,8,3,5,6,2,4,6,1,5,
2000,Kansas,Big 12,North,11,4,7,8,2,6,6,3,3,5,1,4,
2000,Kansas State,Big 12,North,14,11,3,9,6,3,8,7,1,4,3,1,
2000,Kent State,Mid-American,East,11,1,10,8,1,7,5,0,5,6,1,5,
2000,Louisiana Tech,FBS Independents,,12,3,9,4,2,2,4,2,2,8,1,7,
2000,Miami,Big East,,12,11,1,7,7,0,6,6,0,5,4,1,
2000,Middle Tennessee,FBS Independents,,11,6,5,5,5,0,5,5,0,6,1,5,
2000,Navy,FBS Independents,,11,1,10,1,0,1,6,1,5,5,0,5,
2000,UL Monroe,FBS Independents,,11,1,10,4,0,4,5,1,4,6,0,6,
2000,UNLV,Mountain West,,13,8,5,7,4,3,5,5,0,7,2,5,
2000,Nevada,Western Athletic,,12,2,10,8,1,7,5,1,4,7,1,6,
2000,Northern Illinois,Mid-American,West,11,6,5,7,4,3,5,4,1,6,2,4,
2000,Oregon,Pac-10,,12,10,2,8,7,1,6,6,0,5,3,2,
2000,Purdue,Big Ten,,12,8,4,8,6,2,6,6,0,5,2,3,
2000,SMU,Western Athletic,,12,3,9,8,2,6,6,3,3,6,0,6,
2000,Southern Miss,Conference USA,,12,8,4,7,4,3,4,2,2,7,5,2,
2000,South Carolina,SEC,East,12,8,4,8,5,3,6,5,1,5,2,3,
2000,TCU,Western Athletic,,12,10,2,8,7,1,6,6,0,5,4,1,
2000,Tennessee,SEC,East,12,8,4,8,5,3,6,5,1,5,3,2,
2000,UTEP,Western Athletic,,12,8,4,8,7,1,5,5,0,6,3,3,
2000,Texas Tech,Big 12,South,13,7,6,8,3,5,8,6,2,4,1,3,
2000,Toledo,Mid-American,West,11,10,1,7,6,1,6,6,0,5,4,1,
2000,Tulane,Conference USA,,11,6,5,7,3,4,5,4,1,6,2,4,
2000,Western Michigan,Mid-American,West,12,9,3,9,7,2,5,5,0,6,4,2,
2000,Wyoming,Mountain West,,11,1,10,7,0,7,5,1,4,6,0,6,
2001,Auburn,SEC,West,12,7,5,8,5,3,7,5,2,5,2,3,
2001,UAB,Conference USA,,11,6,5,8,5,3,5,4,1,6,2,4,
2001,Arkansas,SEC,West,12,7,5,8,4,4,7,6,1,5,1,4,
2001,Arizona State,Pac-10,,11,4,7,9,2,7,7,4,3,4,0,4,
2001,Arizona,Pac-10,,11,5,6,10,4,6,6,2,4,5,3,2,
2001,San Diego State,Mountain West,,11,3,8,9,2,7,6,2,4,5,1,4,
2001,San José State,Western Athletic,,12,3,9,8,3,5,4,2,2,8,1,7,
2001,Stanford,Pac-10,,12,9,3,9,6,3,7,5,2,5,4,1,
2001,California,Pac-10,,11,1,10,10,0,10,6,0,6,5,1,4,
2001,UCLA,Pac-10,,11,7,4,9,5,4,5,4,1,6,3,3,
2001,USC,Pac-10,,12,6,6,9,5,4,6,4,2,6,2,4,
2001,Colorado State,Mountain West,,12,7,5,8,5,3,7,4,3,5,3,2,
2001,Colorado,Big 12,North,13,10,3,9,8,1,6,5,1,7,5,2,
2001,UConn,FBS Independents,,11,2,9,0,0,0,5,1,4,6,1,5,
2001,Florida State,ACC,,12,8,4,9,7,2,6,4,2,6,4,2,
2001,Florida,SEC,East,12,10,2,8,6,2,8,7,1,4,3,1,
2001,South Florida,FBS Independents,,11,8,3,0,0,0,7,7,0,4,1,3,
2001,Georgia Tech,ACC,,13,8,5,9,5,4,6,3,3,7,5,2,
2001,Georgia,SEC,East,12,8,4,8,5,3,7,4,3,5,4,1,
2001,Hawai'i,Western Athletic,,12,9,3,8,5,3,9,7,2,3,2,1,
2001,Iowa State,Big 12,North,12,7,5,8,4,4,7,4,3,5,3,2,
2001,Boise State,Western Athletic,,12,8,4,8,6,2,6,5,1,6,3,3,
2001,Idaho,Sun Belt,,11,1,10,6,1,5,4,1,3,7,0,7,
2001,Northwestern,Big Ten,,11,4,7,10,4,6,5,2,3,6,2,4,
2001,Indiana,Big Ten,,11,5,6,10,4,6,6,3,3,5,2,3,
2001,Notre Dame,FBS Independents,,11,5,6,0,0,0,6,4,2,5,1,4,
2001,Kentucky,SEC,East,11,2,9,8,1,7,6,1,5,5,1,4,
2001,Louisville,Conference USA,,13,11,2,10,8,2,6,6,0,7,5,2,
2001,LSU,SEC,West,13,10,3,9,6,3,8,6,2,5,4,1,
2001,Boston College,Big East,,12,8,4,7,4,3,6,5,1,6,3,3,
2001,Maryland,ACC,,12,10,2,8,7,1,7,7,0,5,3,2,
2001,Michigan State,Big Ten,,12,7,5,8,3,5,6,4,2,6,3,3,
2001,Michigan,Big Ten,,12,8,4,9,6,3,6,5,1,6,3,3,
2001,Minnesota,Big Ten,,11,4,7,8,2,6,6,4,2,5,0,5,
2001,Missouri,Big 12,North,11,4,7,8,3,5,6,2,4,5,2,3,
2001,Ole Miss,SEC,West,11,7,4,8,4,4,6,4,2,5,3,2,
2001,Duke,ACC,,11,0,11,9,0,9,6,0,6,5,0,5,
2001,East Carolina,Conference USA,,12,6,6,10,6,4,5,2,3,7,4,3,
2001,NC State,ACC,,12,7,5,9,5,4,7,3,4,5,4,1,
2001,North Carolina,ACC,,13,8,5,9,6,3,6,5,1,7,3,4,
2001,Wake Forest,ACC,,11,6,5,9,4,5,6,2,4,5,4,1,
2001,Nebraska,Big 12,North,13,11,2,8,7,1,8,8,0,5,3,2,
2001,Rutgers,Big East,,11,2,9,7,0,7,7,1,6,4,1,3,
2001,New Mexico State,Sun Belt,,12,5,7,6,4,2,4,2,2,8,3,5,
2001,New Mexico,Mountain West,,11,6,5,7,4,3,6,4,2,5,2,3,
2001,Syracuse,Big East,,13,10,3,7,6,1,7,6,1,6,4,2,
2001,Bowling Green,Mid-American,East,11,8,3,8,5,3,5,4,1,6,4,2,
2001,Miami (OH),Mid-American,East,12,7,5,8,6,2,5,4,1,7,3,4,
2001,Ohio State,Big Ten,,12,7,5,9,5,4,6,4,2,6,3,3,
2001,Ohio,Mid-American,East,11,1,10,8,1,7,5,0,5,6,1,5,
2001,Oklahoma State,Big 12,South,11,4,7,8,2,6,6,2,4,5,2,3,
2001,Oklahoma,Big 12,South,13,11,2,8,6,2,8,7,1,5,4,1,
2001,Tulsa,Western Athletic,,11,1,10,8,0,8,6,1,5,5,0,5,
2001,Oregon State,Pac-10,,11,5,6,8,3,5,5,4,1,6,1,5,
2001,Penn State,Big Ten,,11,5,6,10,5,5,6,3,3,5,2,3,
2001,Temple,Big East,,11,4,7,7,2,5,6,3,3,5,1,4,
2001,Pittsburgh,Big East,,12,7,5,7,4,3,6,3,3,6,4,2,
2001,Clemson,ACC,,12,7,5,8,4,4,6,3,3,6,4,2,
2001,Memphis,Conference USA,,11,5,6,7,3,4,6,4,2,5,1,4,
2001,Vanderbilt,SEC,East,11,2,9,8,0,8,6,1,5,5,1,4,
