year,team,conference,division,total_games,total_wins,total_losses,conference_games,conference_wins,conference_losses,home_games,home_wins,home_losses,away_games,away_wins,away_losses,expected_wins
2007,California,Pac-10,,13,7,6,11,5,6,6,4,2,7,3,4,
2007,Southern Miss,Conference USA,East,13,7,6,8,5,3,6,3,3,7,4,3,
2007,Miami (OH),Mid-American,East,13,6,7,8,5,3,5,4,1,8,2,6,
2007,Northwestern,Big Ten,,12,6,6,8,3,5,7,4,3,5,2,3,
2007,Florida State,ACC,Atlantic,13,7,6,8,4,4,7,5,2,6,2,4,
2008,Ohio,Mid-American,East,12,4,8,8,3,5,5,2,3,7,2,5,
2008,Utah,Mountain West,,13,13,0,10,10,0,6,6,0,6,6,0,
2008,Toledo,Mid-American,West,12,3,9,8,2,6,6,1,5,6,2,4,
2008,Washington State,Pac-10,,13,2,11,9,1,8,7,2,5,6,0,6,
2008,SMU,Conference USA,West,12,1,11,8,0,8,6,1,5,6,0,6,
2008,Northern Illinois,Mid-American,West,13,6,7,8,5,3,6,4,2,6,2,4,
2008,Western Michigan,Mid-American,West,13,9,4,8,6,2,6,6,0,6,3,3,
2008,UConn,Big East,,13,8,5,7,3,4,6,4,2,6,3,3,
2008,Texas Tech,Big 12,South,13,11,2,8,7,1,7,7,0,5,4,1,
2008,Pittsburgh,Big East,,13,9,4,7,5,2,6,4,2,6,5,1,
2008,California,Pac-10,,13,9,4,11,8,3,7,7,0,5,1,4,
2008,UAB,Conference USA,East,12,4,8,8,3,5,4,1,3,7,2,5,
2008,USC,Pac-10,,13,12,1,11,10,1,6,6,0,6,5,1,
2008,UL Monroe,Sun Belt,East,12,4,8,7,3,4,5,3,2,6,1,5,
2008,Tulsa,Conference USA,West,14,11,3,9,7,2,7,6,1,6,4,2,
2008,Kentucky,SEC,East,13,7,6,8,2,6,7,4,3,5,2,3,
2008,Troy,Sun Belt,East,13,8,5,7,6,1,5,5,0,7,3,4,
2008,Missouri,Big 12,North,14,10,4,9,5,4,6,5,1,4,3,1,
2008,Virginia Tech,ACC,Coastal,14,10,4,9,6,3,6,6,0,5,2,3,
2008,Hawai'i,Western Athletic,,14,7,7,8,5,3,6,4,2,6,2,4,
2008,Alabama,SEC,West,14,12,2,9,8,1,7,7,0,4,4,0,
2008,Houston,Conference USA,West,13,8,5,8,6,2,5,4,1,6,2,4,
2008,Georgia,SEC,East,13,10,3,8,6,2,6,4,2,5,5,0,
2008,Arkansas,SEC,West,12,5,7,8,2,6,6,3,3,5,1,4,
2008,Florida State,ACC,Atlantic,13,9,4,8,5,3,8,5,3,4,3,1,
2008,Oregon,Pac-10,,13,10,3,10,8,2,6,5,1,6,4,2,
2008,Rice,Conference USA,West,13,10,3,8,7,1,6,6,0,6,3,3,
2008,Rutgers,Big East,,13,8,5,7,5,2,6,4,2,5,2,3,
2008,Purdue,Big Ten,,12,4,8,9,2,7,7,4,3,5,0,5,
2008,Wyoming,Mountain West,,12,4,8,8,1,7,7,3,4,5,1,4,
2008,Florida Atlantic,Sun Belt,,13,7,6,7,4,3,5,4,1,7,2,5,
2008,Bowling Green,Mid-American,East,12,6,6,8,4,4,5,1,4,7,5,2,
2008,Idaho,Western Athletic,,12,2,10,8,1,7,6,2,4,6,0,6,
2008,Western Kentucky,FBS Independents,,12,2,10,0,0,0,5,1,4,7,1,6,
2008,Syracuse,Big East,,12,3,9,7,1,6,6,2,4,6,1,5,
2008,Iowa State,Big 12,North,12,2,10,8,0,8,6,2,4,6,0,6,
2008,UCLA,Pac-10,,12,4,8,10,3,7,7,3,4,5,1,4,
2008,San José State,Western Athletic,,12,6,6,8,4,4,6,3,3,6,3,3,
2008,Marshall,Conference USA,East,12,4,8,8,3,5,6,3,3,6,1,5,
2008,Notre Dame,FBS Independents,,13,7,6,0,0,0,6,4,2,6,2,4,
2008,Kent State,Mid-American,East,12,4,8,8,3,5,6,2,4,6,2,4,
2008,Boise State,Western Athletic,,13,12,1,8,8,0,6,6,0,6,6,0,
2008,UCF,Conference USA,East,12,4,8,8,3,5,6,2,4,6,2,4,
2008,Navy,FBS Independents,,13,8,5,0,0,0,6,4,2,5,3,2,
2008,Wake Forest,ACC,Atlantic,13,8,5,8,4,4,7,5,2,5,2,3,
2008,UNLV,Mountain West,,12,5,7,9,3,6,7,4,3,5,1,4,
2008,Penn State,Big Ten,,13,11,2,10,8,2,7,7,0,5,4,1,
2008,LSU,SEC,West,14,9,5,8,3,5,9,6,3,4,2,2,
2008,Stanford,Pac-10,,12,5,7,10,4,6,5,4,1,7,1,6,
2008,Fresno State,Western Athletic,,13,7,6,8,4,4,5,2,3,7,5,2,
2008,Eastern Michigan,Mid-American,West,12,3,9,8,2,6,5,2,3,7,1,6,
2008,Duke,ACC,Coastal,12,4,8,8,1,7,7,3,4,5,1,4,
2008,Florida International,Sun Belt,,12,5,7,7,3,4,5,3,2,7,2,5,
2008,Southern Miss,Conference USA,East,13,7,6,8,4,4,6,3,3,6,3,3,
2008,Washington,Pac-10,,12,0,12,10,0,10,7,0,7,5,0,5,
2008,Nevada,Western Athletic,,13,7,6,8,5,3,6,3,3,6,4,2,
2008,Illinois,Big Ten,,12,5,7,8,3,5,6,4,2,5,1,4,
2008,Nebraska,Big 12,North,13,9,4,8,5,3,8,6,2,4,2,2,
2008,Kansas State,Big 12,North,12,5,7,8,2,6,7,4,3,5,1,4,
2008,Minnesota,Big Ten,,13,7,6,8,3,5,6,3,3,5,3,2,
2008,Texas A&M,Big 12,South,12,4,8,8,2,6,7,2,5,5,2,3,
2008,North Carolina,ACC,Coastal,13,8,5,8,4,4,7,5,2,5,3,2,
2008,Oklahoma State,Big 12,South,13,9,4,8,5,3,7,6,1,5,3,2,
2008,Maryland,ACC,Atlantic,13,8,5,8,4,4,7,6,1,5,1,4,
2008,Central Michigan,Mid-American,West,13,8,5,8,6,2,5,4,1,7,4,3,
2008,NC State,ACC,Atlantic,13,6,7,8,4,4,7,4,3,5,2,3,
2008,Texas,Big 12,South,13,12,1,8,7,1,7,7,0,4,3,1,
2008,Michigan,Big Ten,,12,3,9,9,2,7,7,2,5,5,1,4,
2008,Army,FBS Independents,,12,3,9,0,0,0,6,2,4,5,1,4,
2008,New Mexico,Mountain West,,12,4,8,9,3,6,6,3,3,6,1,5,
2008,South Carolina,SEC,East,13,7,6,8,4,4,7,5,2,5,2,3,
2008,Ball State,Mid-American,West,14,12,2,9,8,1,6,6,0,6,6,0,
2008,Louisiana Tech,Western Athletic,,13,8,5,8,5,3,6,5,1,6,2,4,
2008,Miami (OH),Mid-American,East,12,2,10,8,1,7,6,1,5,6,1,5,
2008,South Florida,Big East,,13,8,5,7,2,5,6,4,2,6,3,3,
2008,Oklahoma,Big 12,South,14,12,2,9,8,1,6,6,0,5,5,0,
2008,Arkansas State,Sun Belt,East,12,6,6,7,4,3,5,4,1,7,2,5,
2008,San Diego State,Mountain West,,12,2,10,8,1,7,5,2,3,6,0,6,
2008,Akron,Mid-American,East,12,5,7,8,3,5,5,1,4,7,4,3,
2008,Arizona State,Pac-10,,12,5,7,10,4,6,7,4,3,5,1,4,
2008,Clemson,ACC,Atlantic,13,7,6,8,4,4,7,5,2,4,2,2,
2008,BYU,Mountain West,,13,10,3,11,8,3,6,6,0,6,4,2,
2008,West Virginia,Big East,,13,9,4,7,5,2,7,6,1,5,2,3,
2008,UTEP,Conference USA,West,12,5,7,8,4,4,6,3,3,6,2,4,
2008,Boston College,ACC,Atlantic,14,9,5,9,5,4,7,5,2,5,4,1,
2008,Florida,SEC,East,14,13,1,9,8,1,7,6,1,4,4,0,
2008,Louisiana,Sun Belt,East,12,6,6,7,5,2,5,4,1,7,2,5,
2008,Louisville,Big East,,12,5,7,7,1,6,8,4,4,4,1,3,
2008,Ohio State,Big Ten,,13,10,3,9,7,2,7,6,1,5,4,1,
2008,Utah State,Western Athletic,,12,3,9,8,3,5,6,3,3,6,0,6,
2008,Northwestern,Big Ten,,13,9,4,8,5,3,7,5,2,5,4,1,
2008,Buffalo,Mid-American,East,14,8,6,9,6,3,6,4,2,6,3,3,
2008,Oregon State,Pac-10,,13,9,4,11,7,4,6,5,1,6,3,3,
2008,Ole Miss,SEC,West,13,9,4,8,5,3,7,5,2,5,3,2,
2008,Tennessee,SEC,East,12,5,7,8,3,5,7,4,3,5,1,4,
2008,TCU,Mountain West,,13,11,2,9,8,1,6,6,0,6,4,2,
2008,Colorado State,Mountain West,,13,7,6,9,4,5,5,3,2,5,2,3,
2008,Baylor,Big 12,South,12,4,8,8,2,6,6,3,3,5,0,5,
2008,Wisconsin,Big Ten,,13,7,6,8,3,5,7,5,2,5,2,3,
2008,Miami,ACC,Coastal,13,7,6,8,4,4,6,4,2,6,3,3,
2008,New Mexico State,Western Athletic,,12,3,9,8,1,7,6,1,5,6,2,4,
2008,Memphis,Conference USA,East,13,6,7,8,4,4,7,4,3,5,2,3,
2008,Arizona,Pac-10,,13,8,5,11,6,5,7,5,2,5,2,3,
2008,Georgia Tech,ACC,Coastal,13,9,4,8,5,3,7,6,1,5,3,2,
2008,Air Force,Mountain West,,13,8,5,8,5,3,6,3,3,6,5,1,
2008,Iowa,Big Ten,,13,9,4,8,5,3,7,6,1,5,2,3,
2008,Tulane,Conference USA,West,12,2,10,8,1,7,6,2,4,6,0,6,
2008,Temple,Mid-American,East,12,5,7,8,4,4,5,3,2,7,2,5,
2008,East Carolina,Conference USA,East,14,9,5,9,7,2,5,4,1,7,4,3,
2008,Virginia,ACC,Coastal,12,5,7,8,3,5,7,4,3,5,1,4,
2008,North Texas,Sun Belt,,12,1,11,7,0,7,5,0,5,7,1,6,
2008,Cincinnati,Big East,,14,11,3,7,6,1,6,6,0,7,5,2,
2008,Vanderbilt,SEC,East,13,7,6,8,4,4,6,3,3,6,3,3,
2008,Indiana,Big Ten,,12,3,9,8,1,7,8,3,5,4,0,4,
2008,Michigan State,Big Ten,,13,9,4,9,6,3,7,6,1,5,3,2,
2008,Colorado,Big 12,North,12,5,7,8,2,6,6,4,2,5,0,5,
2008,Mississippi State,SEC,West,12,4,8,8,2,6,6,4,2,6,0,6,
2008,Kansas,Big 12,North,13,8,5,8,4,4,7,5,2,4,1,3,
2008,Auburn,SEC,West,12,5,7,8,2,6,7,4,3,5,1,4,
2008,Middle Tennessee,Sun Belt,,12,5,7,7,3,4,5,4,1,7,1,6,
2009,Auburn,SEC,West,13,8,5,8,3,5,8,6,2,4,1,3,
2009,UAB,Conference USA,East,12,5,7,8,4,4,5,3,2,7,2,5,
2009,Arkansas,SEC,West,13,8,5,8,3,5,7,6,1,4,0,4,
2009,Arizona State,Pac-10,,12,4,8,9,2,7,7,3,4,5,1,4,
2009,Arizona,Pac-10,,13,8,5,10,6,4,6,5,1,6,3,3,
2009,San Diego State,Mountain West,,12,4,8,9,2,7,5,2,3,6,1,5,
2009,San José State,Western Athletic,,12,2,10,8,1,7,6,2,4,6,0,6,
2009,Stanford,Pac-10,,13,8,5,9,6,3,7,6,1,5,2,3,
2009,California,Pac-10,,13,8,5,11,6,5,6,4,2,6,4,2,
2009,UCLA,Pac-10,,13,7,6,10,4,6,6,4,2,6,2,4,
2009,USC,Pac-10,,13,9,4,10,6,4,6,4,2,6,4,2,
2009,Colorado State,Mountain West,,12,3,9,8,0,8,5,1,4,6,1,5,
2009,Colorado,Big 12,North,12,3,9,8,2,6,6,3,3,6,0,6,
2009,UConn,Big East,,13,8,5,7,3,4,6,4,2,6,3,3,
2009,Florida State,ACC,Atlantic,13,7,6,8,4,4,6,3,3,6,3,3,
2009,Florida,SEC,East,14,13,1,9,8,1,7,7,0,4,4,0,
2009,South Florida,Big East,,13,8,5,7,3,4,6,4,2,6,3,3,
2009,Georgia Tech,ACC,Coastal,14,11,3,9,8,1,6,5,1,6,5,1,
2009,Georgia,SEC,East,13,8,5,8,4,4,6,4,2,5,3,2,
2009,Hawai'i,Western Athletic,,13,6,7,8,3,5,6,3,3,6,2,4,
2009,Iowa State,Big 12,North,13,7,6,8,3,5,7,4,3,5,2,3,
2009,Boise State,Western Athletic,,14,14,0,8,8,0,7,7,0,6,6,0,
2009,Idaho,Western Athletic,,13,8,5,8,4,4,6,4,2,6,3,3,
2009,Northwestern,Big Ten,,13,8,5,8,5,3,7,5,2,5,3,2,
2009,Indiana,Big Ten,,12,4,8,8,1,7,6,3,3,6,1,5,
2009,Notre Dame,FBS Independents,,12,6,6,0,0,0,8,5,3,4,1,3,
2009,Kentucky,SEC,East,13,7,6,8,3,5,7,3,4,5,4,1,
2009,Louisville,Big East,,12,4,8,7,1,6,6,4,2,6,0,6,
2009,Western Kentucky,Sun Belt,,12,0,12,8,0,8,6,0,6,6,0,6,
2009,LSU,SEC,West,13,9,4,8,5,3,7,6,1,5,3,2,
2009,Boston College,ACC,Atlantic,13,8,5,8,5,3,7,6,1,5,2,3,
2009,Maryland,ACC,Atlantic,12,2,10,8,1,7,7,2,5,5,0,5,
2009,Michigan State,Big Ten,,13,6,7,8,4,4,7,4,3,5,2,3,
2009,Michigan,Big Ten,,12,5,7,8,1,7,8,5,3,4,0,4,
2009,Minnesota,Big Ten,,13,6,7,10,4,6,7,4,3,5,2,3,
2009,Missouri,Big 12,North,13,8,5,8,4,4,6,3,3,4,3,1,
2009,Ole Miss,SEC,West,13,9,4,8,4,4,7,6,1,5,2,3,
2009,Duke,ACC,Coastal,12,5,7,8,3,5,6,2,4,6,3,3,
2009,East Carolina,Conference USA,East,14,9,5,9,8,1,7,6,1,6,3,3,
2009,NC State,ACC,Atlantic,12,5,7,8,2,6,8,5,3,4,0,4,
2009,North Carolina,ACC,Coastal,13,8,5,8,4,4,7,5,2,5,3,2,
2009,Wake Forest,ACC,Atlantic,12,5,7,8,3,5,7,4,3,5,1,4,
2009,Nebraska,Big 12,North,14,10,4,9,6,3,7,5,2,5,4,1,
2009,Rutgers,Big East,,13,9,4,7,3,4,5,2,3,5,4,1,
2009,New Mexico State,Western Athletic,,13,3,10,8,1,7,6,2,4,7,1,6,
2009,New Mexico,Mountain West,,12,1,11,8,1,7,6,1,5,6,0,6,
2009,Syracuse,Big East,,12,4,8,7,1,6,8,4,4,4,0,4,
2009,Bowling Green,Mid-American,East,13,7,6,8,6,2,6,3,3,6,4,2,
2009,Miami (OH),Mid-American,East,12,1,11,8,1,7,6,1,5,6,0,6,
2009,Ohio State,Big Ten,,13,11,2,10,8,2,7,6,1,5,4,1,
2009,Ohio,Mid-American,East,14,9,5,9,7,2,6,4,2,6,5,1,
2009,Oklahoma State,Big 12,South,13,9,4,8,6,2,8,6,2,4,3,1,
2009,Oklahoma,Big 12,South,13,8,5,8,5,3,6,6,0,4,1,3,
2009,Tulsa,Conference USA,West,12,5,7,8,3,5,6,2,4,6,3,3,
2009,Oregon State,Pac-10,,13,8,5,11,7,4,6,4,2,6,4,2,
2009,Penn State,Big Ten,,13,11,2,8,6,2,8,6,2,4,4,0,
2009,Temple,Mid-American,East,13,9,4,8,7,1,6,5,1,6,4,2,
2009,Pittsburgh,Big East,,13,10,3,7,5,2,7,6,1,5,3,2,
2009,Clemson,ACC,Atlantic,14,9,5,9,6,3,7,6,1,5,2,3,
2009,Memphis,Conference USA,East,12,2,10,8,1,7,6,2,4,6,0,6,
2009,Vanderbilt,SEC,East,12,2,10,8,0,8,6,1,5,6,1,5,
2009,Baylor,Big 12,South,12,4,8,8,1,7,5,1,4,5,2,3,
2009,Rice,Conference USA,West,12,2,10,8,2,6,6,2,4,6,0,6,
2009,Texas A&M,Big 12,South,13,6,7,8,3,5,7,5,2,4,1,3,
2009,Houston,Conference USA,West,14,10,4,9,6,3,5,5,0,7,4,3,
2009,North Texas,Sun Belt,,12,2,10,8,1,7,6,1,5,6,1,5,
2009,Texas,Big 12,South,14,13,1,9,9,0,6,6,0,5,5,0,
2009,BYU,Mountain West,,13,11,2,9,8,1,6,4,2,5,5,0,
2009,Utah,Mountain West,,13,10,3,10,7,3,6,6,0,6,3,3,
2009,Virginia,ACC,Coastal,12,3,9,8,2,6,7,1,6,5,2,3,
2009,Virginia Tech,ACC,Coastal,13,10,3,8,6,2,6,5,1,5,4,1,
2009,Washington,Pac-10,,12,5,7,9,4,5,7,5,2,5,0,5,
2009,Washington State,Pac-10,,12,1,11,9,0,9,6,1,5,6,0,6,
2009,Wisconsin,Big Ten,,13,10,3,8,5,3,7,6,1,5,3,2,
2009,Marshall,Conference USA,East,13,7,6,8,4,4,6,4,2,6,2,4,
2009,West Virginia,Big East,,13,9,4,7,5,2,6,6,0,5,2,3,
2009,Fresno State,Western Athletic,,13,8,5,8,6,2,5,4,1,7,4,3,
2009,Louisiana,Sun Belt,East,12,6,6,8,4,4,6,4,2,6,2,4,
2009,Utah State,Western Athletic,,12,4,8,8,3,5,5,3,2,7,1,6,
2009,Alabama,SEC,West,14,14,0,9,9,0,7,7,0,4,4,0,
2009,Mississippi State,SEC,West,12,5,7,8,3,5,7,2,5,5,3,2,
2009,Army,FBS Independents,,12,5,7,0,0,0,6,3,3,5,2,3,
2009,Illinois,Big Ten,,12,3,9,8,2,6,6,2,4,5,1,4,
2009,Air Force,Mountain West,,13,8,5,9,5,4,6,5,1,6,2,4,
2009,Akron,Mid-American,East,12,3,9,8,2,6,6,3,3,6,0,6,
2009,Arkansas State,Sun Belt,East,12,4,8,8,3,5,5,3,2,7,1,6,
2009,Ball State,Mid-American,West,12,2,10,8,2,6,6,0,6,6,2,4,
2009,Buffalo,Mid-American,East,12,5,7,8,3,5,6,2,4,6,3,3,
2009,UCF,Conference USA,East,13,8,5,8,6,2,7,6,1,5,2,3,
2009,Central Michigan,Mid-American,West,14,12,2,9,9,0,5,5,0,7,5,2,
2009,Cincinnati,Big East,,13,12,1,7,7,0,6,6,0,6,6,0,
2009,Eastern Michigan,Mid-American,West,12,0,12,8,0,8,5,0,5,7,0,7,
2009,Florida Atlantic,Sun Belt,,12,5,7,8,5,3,5,2,3,7,3,4,
2009,Florida International,Sun Belt,,12,3,9,8,3,5,5,2,3,7,1,6,
2009,Iowa,Big Ten,,13,11,2,9,7,2,7,6,1,5,4,1,
2009,Kansas,Big 12,North,12,5,7,8,1,7,6,4,2,5,1,4,
2009,Kansas State,Big 12,North,12,6,6,8,4,4,6,5,1,6,1,5,
2009,Kent State,Mid-American,East,12,5,7,8,4,4,6,3,3,6,2,4,
2009,Louisiana Tech,Western Athletic,,12,4,8,8,3,5,5,4,1,7,0,7,
2009,Miami,ACC,Coastal,13,9,4,8,5,3,6,5,1,6,4,2,
2009,Middle Tennessee,Sun Belt,,13,10,3,8,7,1,6,5,1,6,4,2,
2009,Navy,FBS Independents,,14,10,4,0,0,0,6,5,1,6,3,3,
2009,UL Monroe,Sun Belt,East,12,6,6,8,5,3,5,4,1,7,2,5,
2009,UNLV,Mountain West,,12,5,7,9,3,6,6,3,3,5,1,4,
2009,Nevada,Western Athletic,,13,8,5,8,7,1,6,5,1,6,3,3,
2009,Northern Illinois,Mid-American,West,13,7,6,8,5,3,6,5,1,6,2,4,
2009,Oregon,Pac-10,,13,10,3,12,10,2,7,7,0,5,3,2,
2009,Purdue,Big Ten,,12,5,7,9,4,5,7,3,4,5,2,3,
2009,SMU,Conference USA,West,13,8,5,8,6,2,6,5,1,6,2,4,
2009,Southern Miss,Conference USA,East,13,7,6,8,5,3,6,6,0,6,1,5,
2009,South Carolina,SEC,East,13,7,6,8,3,5,7,6,1,5,1,4,
2009,TCU,Mountain West,,13,12,1,8,8,0,6,6,0,6,6,0,
2009,Tennessee,SEC,East,13,7,6,8,4,4,8,6,2,4,1,3,
2009,UTEP,Conference USA,West,12,4,8,8,3,5,6,3,3,6,1,5,
2009,Texas Tech,Big 12,South,13,9,4,8,5,3,7,6,1,4,1,3,
2009,Toledo,Mid-American,West,12,5,7,8,3,5,6,3,3,6,2,4,
2009,Troy,Sun Belt,East,13,9,4,8,8,0,5,5,0,7,4,3,
2009,Tulane,Conference USA,West,12,3,9,8,1,7,5,1,4,6,1,5,
2009,Western Michigan,Mid-American,West,12,5,7,8,4,4,5,3,2,7,2,5,
2009,Wyoming,Mountain West,,13,7,6,8,4,4,6,3,3,6,3,3,
2010,Illinois,Big Ten,,13,7,6,8,4,4,6,4,2,5,2,3,7.1548037952879495
2010,Northern Illinois,Mid-American,West,14,11,3,9,8,1,5,5,0,7,5,2,8.487519160400318
2010,Ball State,Mid-American,West,12,4,8,8,3,5,6,2,4,6,2,4,5.143728751571396
2010,NC State,ACC,Atlantic,13,9,4,8,5,3,6,5,1,6,3,3,7.55994990877967
2010,North Texas,Sun Belt,,12,3,9,8,3,5,6,0,6,6,3,3,3.745318395499245
2010,Indiana,Big Ten,,12,5,7,8,1,7,6,3,3,5,2,3,5.90290213339486
2010,Northwestern,Big Ten,,13,7,6,8,3,5,6,3,3,6,4,2,4.61348178443283
2010,Western Kentucky,Sun Belt,,12,2,10,8,2,6,5,0,5,7,2,5,3.483174882650281
2010,Minnesota,Big Ten,,12,3,9,9,2,7,7,1,6,5,2,3,5.238925087575964
2010,Penn State,Big Ten,,13,7,6,8,4,4,7,5,2,4,1,3,7.23714621166736
2010,Tennessee,SEC,East,13,6,7,8,3,5,7,4,3,5,2,3,6.800498158637501
2010,Arizona,Pac-10,,13,7,6,10,5,5,7,4,3,5,3,2,9.303251525931039
2010,Louisiana,Sun Belt,East,12,3,9,8,3,5,5,1,4,7,2,5,4.69542813672424
2010,Virginia Tech,ACC,Coastal,14,11,3,9,9,0,7,6,1,4,4,0,9.392806938781465
2010,Rutgers,Big East,,12,4,8,7,1,6,6,2,4,5,1,4,5.410895295076177
2010,Louisiana Tech,Western Athletic,,12,5,7,8,4,4,6,2,4,5,2,3,4.681658122772744
2010,Troy,Sun Belt,East,13,8,5,8,6,2,5,4,1,7,3,4,5.551366685041531
2010,Ohio State,Big Ten,,13,12,1,8,7,1,8,8,0,4,3,1,9.776098055350356
2010,TCU,Mountain West,,13,13,0,10,10,0,6,6,0,5,5,0,11.262421016214544
2010,Auburn,SEC,West,14,14,0,9,9,0,8,8,0,4,4,0,10.332107652887991
2010,Utah State,Western Athletic,,12,4,8,8,2,6,6,3,3,6,1,5,4.401272698012512
2010,Purdue,Big Ten,,12,4,8,8,2,6,7,3,4,5,1,4,4.057030815242364
2010,Kansas,Big 12,North,12,3,9,8,1,7,7,3,4,4,0,4,4.184112001722759
2010,Idaho,Western Athletic,,13,6,7,8,3,5,6,4,2,7,2,5,4.846818944249831
2010,Georgia,SEC,East,13,6,7,8,3,5,6,5,1,5,1,4,8.220449731124711
2010,Kent State,Mid-American,East,12,5,7,8,4,4,6,4,2,6,1,5,5.076851601651143
2010,Western Michigan,Mid-American,West,12,6,6,8,5,3,6,3,3,6,3,3,6.382736417425779
2010,Marshall,Conference USA,East,12,5,7,8,4,4,6,4,2,6,1,5,4.3583670834249055
2010,Michigan,Big Ten,,13,7,6,8,3,5,7,4,3,5,3,2,8.168545362779893
2010,Southern Miss,Conference USA,East,13,8,5,8,5,3,6,4,2,6,4,2,7.679555762515348
2010,Rice,Conference USA,West,12,4,8,8,3,5,6,3,3,5,1,4,4.099623071541288
2010,Wyoming,Mountain West,,12,3,9,8,1,7,6,2,4,6,1,5,3.792460393835681
2010,New Mexico,Mountain West,,12,1,11,9,1,8,6,1,5,6,0,6,3.2702150140489117
2010,South Florida,Big East,,13,8,5,7,3,4,7,4,3,5,3,2,6.302097029696298
2010,Akron,Mid-American,East,12,1,11,8,1,7,6,1,5,6,0,6,3.1346798280387977
2010,Ohio,Mid-American,East,13,8,5,8,6,2,6,5,1,6,3,3,5.692700713625865
2010,Oklahoma State,Big 12,South,13,11,2,8,6,2,7,5,2,5,5,0,8.91497200485492
2010,Memphis,Conference USA,East,12,1,11,8,0,8,6,1,5,6,0,6,2.689337274840343
2010,Notre Dame,FBS Independents,,13,8,5,0,0,0,7,4,3,3,2,1,6.92208604058121
2010,UAB,Conference USA,East,12,4,8,8,3,5,6,3,3,6,1,5,5.567470391115517
2010,Houston,Conference USA,West,12,5,7,8,4,4,5,2,3,6,2,4,6.862380339904429
2010,Louisville,Big East,,13,7,6,7,3,4,7,3,4,5,3,2,7.3176666744839585
2010,Iowa,Big Ten,,13,8,5,9,4,5,7,5,2,5,2,3,7.766498243985989
2010,SMU,Conference USA,West,14,7,7,9,6,3,7,4,3,7,3,4,7.859314868215639
2010,Army,FBS Independents,,13,7,6,0,0,0,5,2,3,6,5,1,6.44046390461429
2010,Texas A&M,Big 12,South,13,9,4,8,6,2,7,6,1,4,3,1,9.007512607156922
2010,UConn,Big East,,13,8,5,7,5,2,6,6,0,6,2,4,6.565975054619199
2010,Baylor,Big 12,South,13,7,6,8,4,4,5,3,2,5,3,2,6.7581244755490175
2010,Washington State,Pac-10,,12,2,10,9,1,8,6,1,5,6,1,5,3.0602906210711978
2010,Central Michigan,Mid-American,West,12,3,9,8,2,6,5,2,3,7,1,6,5.5597258235445
2010,San Diego State,Mountain West,,13,9,4,8,5,3,6,5,1,6,3,3,8.041080829095618
2010,Mississippi State,SEC,West,13,9,4,8,4,4,7,5,2,5,3,2,7.064226963946662
2010,Fresno State,Western Athletic,,13,8,5,8,5,3,7,5,2,5,3,2,6.286278567968062
2010,Colorado State,Mountain West,,12,3,9,8,2,6,5,3,2,6,0,6,4.363727396758729
2010,Middle Tennessee,Sun Belt,,13,6,7,8,5,3,6,3,3,6,3,3,5.336512011863164
2010,North Carolina,ACC,Coastal,13,8,5,8,4,4,6,3,3,5,4,1,7.677287291763174
2010,Wisconsin,Big Ten,,13,11,2,11,9,2,7,7,0,5,4,1,8.923895460680205
2010,Florida Atlantic,Sun Belt,,12,4,8,8,3,5,4,2,2,7,2,5,3.144631699929973
2010,UNLV,Mountain West,,13,2,11,9,2,7,6,2,4,7,0,7,3.287436759972914
2010,UCF,Conference USA,East,14,11,3,9,8,1,7,5,2,6,5,1,8.838819665690611
2010,Kentucky,SEC,East,13,6,7,8,2,6,7,5,2,5,1,4,8.013429348499544
2010,East Carolina,Conference USA,East,13,6,7,8,5,3,6,4,2,6,2,4,5.898645325302546
2010,Nebraska,Big 12,North,14,10,4,9,6,3,7,6,1,5,4,1,9.36472644330947
2010,Vanderbilt,SEC,East,12,2,10,8,1,7,7,1,6,5,1,4,3.9322774932988884
2010,Nevada,Western Athletic,,14,13,1,8,7,1,7,7,0,6,5,1,10.058949677120557
2010,Colorado,Big 12,North,12,5,7,8,2,6,6,4,2,5,0,5,5.05056023205341
2010,Wake Forest,ACC,Atlantic,12,3,9,8,1,7,6,2,4,6,1,5,3.650431298652188
2010,Florida State,ACC,Atlantic,14,10,4,9,6,3,7,6,1,5,3,2,8.193295591836124
2010,Texas Tech,Big 12,South,13,8,5,8,3,5,6,4,2,5,2,3,6.756680537689875
2010,UCLA,Pac-10,,12,4,8,9,2,7,6,3,3,6,1,5,4.841019630454432
2010,Clemson,ACC,Atlantic,13,6,7,8,4,4,7,5,2,5,1,4,6.939774124663346
2010,Maryland,ACC,Atlantic,13,9,4,8,5,3,6,5,1,5,2,3,7.201993439708329
2010,Boise State,Western Athletic,,13,12,1,8,7,1,6,6,0,5,4,1,11.161139306433714
2010,Cincinnati,Big East,,12,4,8,7,2,5,7,3,4,5,1,4,5.820201288076756
2010,Duke,ACC,Coastal,12,3,9,8,1,7,7,2,5,5,1,4,5.011058603750812
2010,BYU,Mountain West,,13,7,6,9,6,3,6,5,1,6,1,5,6.12970623581049
2010,Alabama,SEC,West,13,10,3,8,5,3,7,6,1,5,3,2,9.494036928005583
2010,Eastern Michigan,Mid-American,West,12,2,10,8,2,6,5,0,5,7,2,5,2.9652255549058633
2010,Arkansas,SEC,West,13,10,3,8,6,2,6,5,1,4,3,1,8.473466401288073
2010,San José State,Western Athletic,,13,1,12,8,0,8,6,1,5,7,0,7,4.5011761415297356
