year,week,team,conference,elo
2003,5,BYU,Mountain West,1481
2003,5,California,Pac-10,1642
2003,5,Central Michigan,Mid-American,1167
2003,5,Cincinnati,Conference USA,1671
2003,5,Clemson,ACC,1616
2003,5,Colorado,Big 12,1541
2003,5,Colorado State,Mountain West,1543
2003,5,Duke,ACC,1226
2003,5,East Carolina,Conference USA,1240
2003,5,Eastern Michigan,Mid-American,1012
2003,5,Florida,SEC,1810
2003,5,Florida Atlantic,FCS Independents,1304
2003,5,Florida State,ACC,1928
2003,5,Fresno State,Western Athletic,1498
2003,5,Georgia,SEC,1896
2003,5,Georgia Tech,ACC,1441
2003,5,Hawai'i,Western Athletic,1524
2003,5,Houston,Conference USA,1373
2003,5,Idaho,Sun Belt,1188
2003,5,Illinois,Big Ten,1583
2003,5,Indiana,Big Ten,1245
2003,5,Iowa,Big Ten,1909
2003,5,Iowa State,Big 12,1564
2003,5,James Madison,Atlantic 10,1374
2003,5,Kansas,Big 12,1252
2003,5,Kansas State,Big 12,1971
2003,5,Kent State,Mid-American,1105
2003,5,Kentucky,SEC,1547
2003,5,Liberty,Big South,1031
2003,5,Louisiana,Sun Belt,1113
2003,5,Louisiana Tech,Western Athletic,1348
2003,5,Louisville,Conference USA,1593
2003,5,LSU,SEC,1837
2003,5,Marshall,Mid-American,1657
2003,5,Maryland,ACC,1738
2003,5,Massachusetts,Atlantic 10,1404
2003,5,Memphis,Conference USA,1393
2003,5,Miami,Big East,2005
2003,5,Miami (OH),Mid-American,1643
2003,5,Michigan,Big Ten,1937
2003,5,Michigan State,Big Ten,1460
2003,5,Middle Tennessee,Sun Belt,1384
2003,5,Minnesota,Big Ten,1761
2003,5,Mississippi State,SEC,1390
2003,5,Missouri,Big 12,1602
2003,5,Navy,FBS Independents,1351
2003,5,NC State,ACC,1792
2003,5,Nebraska,Big 12,1674
2003,5,Nevada,Western Athletic,1358
2003,5,New Mexico,Mountain West,1619
2003,5,New Mexico State,Sun Belt,1240
2003,5,North Carolina,ACC,1298
2003,5,Northern Illinois,Mid-American,1592
2003,5,North Texas,Sun Belt,1454
2003,5,Northwestern,Big Ten,1276
2003,5,Notre Dame,FBS Independents,1522
2003,5,Ohio,Mid-American,1351
2003,5,Ohio State,Big Ten,1824
2003,5,Oklahoma,Big 12,2028
2003,5,Oklahoma State,Big 12,1673
2003,5,Ole Miss,SEC,1569
2003,5,Oregon,Pac-10,1660
2003,5,Oregon State,Pac-10,1646
2003,5,Penn State,Big Ten,1745
2003,5,Pittsburgh,Big East,1753
2003,5,Purdue,Big Ten,1732
2003,5,Rice,Western Athletic,1241
2003,5,Rutgers,Big East,1254
2003,5,San Diego State,Mountain West,1423
2003,5,San José State,Western Athletic,1139
2003,5,SMU,Western Athletic,1060
2003,5,South Carolina,SEC,1628
2003,5,Southern Miss,Conference USA,1474
2003,5,South Florida,Conference USA,1575
2003,5,Stanford,Pac-10,1441
2003,5,Syracuse,Big East,1542
2003,5,TCU,Conference USA,1641
2003,5,Temple,Big East,1401
2003,5,Tennessee,SEC,1747
2003,5,Texas,Big 12,1951
2003,5,Texas A&M,Big 12,1590
2003,5,Texas State,Southland,1096
2003,5,Texas Tech,Big 12,1709
2003,5,Toledo,Mid-American,1670
2003,5,Troy,FBS Independents,1295
2003,5,Tulane,Conference USA,1505
2003,5,Tulsa,Western Athletic,1314
2003,5,UAB,Conference USA,1283
2003,5,UCF,Mid-American,1479
2003,5,UCLA,Pac-10,1555
2003,5,UConn,FBS Independents,1629
2003,5,UL Monroe,Sun Belt,1014
2003,5,UNLV,Mountain West,1478
2003,5,USC,Pac-10,1969
2003,5,Utah,Mountain West,1572
2003,5,Utah State,Sun Belt,1260
2003,5,UTEP,Western Athletic,932
2003,5,Vanderbilt,SEC,1254
2003,5,Virginia,ACC,1716
2003,5,Virginia Tech,Big East,1854
2003,5,Wake Forest,ACC,1632
2003,5,Washington,Pac-10,1664
2003,5,Washington State,Pac-10,1771
2003,5,Western Michigan,Mid-American,1333
2003,5,West Virginia,Big East,1608
2003,5,Wisconsin,Big Ten,1567
2003,5,Wyoming,Mountain West,1248
2003,6,Air Force,Mountain West,1596
2003,6,Akron,Mid-American,1381
2003,6,Alabama,SEC,1775
2003,6,App State,Southern,1391
2003,6,Arizona,Pac-10,1186
2003,6,Arizona State,Pac-10,1506
2003,6,Arkansas,SEC,1739
2003,6,Arkansas State,Sun Belt,1024
2003,6,Army,Conference USA,1046
2003,6,Auburn,SEC,1768
2003,6,Ball State,Mid-American,1304
2003,6,Baylor,Big 12,1070
2003,6,Boise State,Western Athletic,1777
2003,6,Boston College,Big East,1745
2003,6,Bowling Green,Mid-American,1706
2003,6,Buffalo,Mid-American,1052
2003,6,BYU,Mountain West,1458
2003,6,California,Pac-10,1648
2003,6,Central Michigan,Mid-American,1167
2003,6,Cincinnati,Conference USA,1665
2003,6,Clemson,ACC,1616
2003,6,Colorado,Big 12,1541
2003,6,Colorado State,Mountain West,1532
2003,6,Duke,ACC,1170
2003,6,East Carolina,Conference USA,1240
2003,6,Eastern Michigan,Mid-American,1023
2003,6,Florida,SEC,1799
2003,6,Florida Atlantic,FCS Independents,1304
2003,6,Florida State,ACC,1984
2003,6,Fresno State,Western Athletic,1498
2003,6,Georgia,SEC,1896
2003,6,Georgia Tech,ACC,1440
2003,6,Hawai'i,Western Athletic,1543
2003,6,Houston,Conference USA,1373
2003,6,Idaho,Sun Belt,1188
2003,6,Illinois,Big Ten,1537
2003,6,Indiana,Big Ten,1269
2003,6,Iowa,Big Ten,1855
2003,6,Iowa State,Big 12,1554
2003,6,James Madison,Atlantic 10,1374
2003,6,Kansas,Big 12,1343
2003,6,Kansas State,Big 12,1971
2003,6,Kent State,Mid-American,1195
2003,6,Kentucky,SEC,1558
2003,6,Liberty,Big South,1031
2003,6,Louisiana,Sun Belt,1097
2003,6,Louisiana Tech,Western Athletic,1348
2003,6,Louisville,Conference USA,1595
2003,6,LSU,SEC,1882
2003,6,Marshall,Mid-American,1615
2003,6,Maryland,ACC,1727
2003,6,Massachusetts,Atlantic 10,1404
2003,6,Memphis,Conference USA,1411
2003,6,Miami,Big East,2005
2003,6,Miami (OH),Mid-American,1649
2003,6,Michigan,Big Ten,1913
2003,6,Michigan State,Big Ten,1514
2003,6,Middle Tennessee,Sun Belt,1384
2003,6,Minnesota,Big Ten,1771
2003,6,Mississippi State,SEC,1345
2003,6,Missouri,Big 12,1511
2003,6,Navy,FBS Independents,1290
2003,6,NC State,ACC,1780
2003,6,Nebraska,Big 12,1714
2003,6,Nevada,Western Athletic,1355
2003,6,New Mexico,Mountain West,1609
2003,6,New Mexico State,Sun Belt,1250
2003,6,North Carolina,ACC,1310
2003,6,Northern Illinois,Mid-American,1602
2003,6,North Texas,Sun Belt,1470
2003,6,Northwestern,Big Ten,1280
2003,6,Notre Dame,FBS Independents,1513
2003,6,Ohio,Mid-American,1336
2003,6,Ohio State,Big Ten,1820
2003,6,Oklahoma,Big 12,2028
2003,6,Oklahoma State,Big 12,1673
2003,6,Ole Miss,SEC,1571
2003,6,Oregon,Pac-10,1559
2003,6,Oregon State,Pac-10,1710
2003,6,Penn State,Big Ten,1735
2003,6,Pittsburgh,Big East,1762
2003,6,Purdue,Big Ten,1741
2003,6,Rice,Western Athletic,1222
2003,6,Rutgers,Big East,1315
2003,6,San Diego State,Mountain West,1415
2003,6,San José State,Western Athletic,1139
2003,6,SMU,Western Athletic,1063
2003,6,South Carolina,SEC,1629
2003,6,Southern Miss,Conference USA,1434
2003,6,South Florida,Conference USA,1594
2003,6,Stanford,Pac-10,1437
2003,6,Syracuse,Big East,1628
2003,6,TCU,Conference USA,1619
2003,6,Temple,Big East,1399
2003,6,Tennessee,SEC,1746
2003,6,Texas,Big 12,2025
2003,6,Texas A&M,Big 12,1581
2003,6,Texas State,Southland,1096
2003,6,Texas Tech,Big 12,1707
2003,6,Toledo,Mid-American,1584
2003,6,Troy,FBS Independents,1337
2003,6,Tulane,Conference USA,1431
2003,6,Tulsa,Western Athletic,1314
2003,6,UAB,Conference USA,1283
2003,6,UCF,Mid-American,1389
2003,6,UCLA,Pac-10,1563
2003,6,UConn,FBS Independents,1563
2003,6,UL Monroe,Sun Belt,997
2003,6,UNLV,Mountain West,1478
2003,6,USC,Pac-10,1963
2003,6,Utah,Mountain West,1583
2003,6,Utah State,Sun Belt,1277
2003,6,UTEP,Western Athletic,932
2003,6,Vanderbilt,SEC,1255
2003,6,Virginia,ACC,1716
2003,6,Virginia Tech,Big East,1920
2003,6,Wake Forest,ACC,1632
2003,6,Washington,Pac-10,1668
2003,6,Washington State,Pac-10,1872
2003,6,Western Kentucky,MVFC,1304
2003,6,Western Michigan,Mid-American,1348
2003,6,West Virginia,Big East,1608
2003,6,Wisconsin,Big Ten,1613
2003,6,Wyoming,Mountain West,1259
2003,7,Air Force,Mountain West,1591
2003,7,Akron,Mid-American,1347
2003,7,Alabama,SEC,1757
2003,7,App State,Southern,1391
2003,7,Arizona,Pac-10,1195
2003,7,Arizona State,Pac-10,1502
2003,7,Arkansas,SEC,1739
2003,7,Arkansas State,Sun Belt,1025
2003,7,Army,Conference USA,1037
2003,7,Auburn,SEC,1776
2003,7,Ball State,Mid-American,1334
2003,7,Baylor,Big 12,1136
2003,7,Boise State,Western Athletic,1759
2003,7,Boston College,Big East,1745
2003,7,Bowling Green,Mid-American,1703
2003,7,Buffalo,Mid-American,1059
2003,7,BYU,Mountain West,1470
2003,7,California,Pac-10,1622
2003,7,Central Michigan,Mid-American,1170
2003,7,Cincinnati,Conference USA,1649
2003,7,Clemson,ACC,1597
2003,7,Colorado,Big 12,1475
2003,7,Colorado State,Mountain West,1588
2003,7,Duke,ACC,1170
2003,7,East Carolina,Conference USA,1221
2003,7,Eastern Michigan,Mid-American,985
2003,7,Florida,SEC,1780
2003,7,Florida Atlantic,FCS Independents,1304
2003,7,Florida State,ACC,1984
2003,7,Fresno State,Western Athletic,1442
2003,7,Georgia,SEC,1914
2003,7,Georgia Tech,ACC,1475
2003,7,Hawai'i,Western Athletic,1504
2003,7,Houston,Conference USA,1392
2003,7,Idaho,Sun Belt,1199
2003,7,Illinois,Big Ten,1472
2003,7,Indiana,Big Ten,1224
2003,7,Iowa,Big Ten,1857
2003,7,Iowa State,Big 12,1479
2003,7,James Madison,Atlantic 10,1374
2003,7,Kansas,Big 12,1343
2003,7,Kansas State,Big 12,1970
2003,7,Kent State,Mid-American,1165
2003,7,Kentucky,SEC,1558
2003,7,Liberty,Big South,1031
2003,7,Louisiana,Sun Belt,1014
2003,7,Louisiana Tech,Western Athletic,1366
2003,7,Louisville,Conference USA,1594
2003,7,LSU,SEC,1882
2003,7,Marshall,Mid-American,1615
2003,7,Maryland,ACC,1746
2003,7,Massachusetts,Atlantic 10,1404
2003,7,Memphis,Conference USA,1366
2003,7,Miami,Big East,2000
2003,7,Miami (OH),Mid-American,1683
2003,7,Michigan,Big Ten,1911
2003,7,Michigan State,Big Ten,1559
2003,7,Middle Tennessee,Sun Belt,1370
2003,7,Minnesota,Big Ten,1784
2003,7,Mississippi State,SEC,1354
2003,7,Missouri,Big 12,1511
2003,7,Navy,FBS Independents,1295
2003,7,NC State,ACC,1745
2003,7,Nebraska,Big 12,1751
2003,7,Nevada,Western Athletic,1356
2003,7,New Mexico,Mountain West,1642
2003,7,New Mexico State,Sun Belt,1239
2003,7,North Carolina,ACC,1289
2003,7,Northern Illinois,Mid-American,1597
2003,7,North Texas,Sun Belt,1470
2003,7,Northwestern,Big Ten,1267
2003,7,Notre Dame,FBS Independents,1513
2003,7,Ohio,Mid-American,1341
2003,7,Ohio State,Big Ten,1820
2003,7,Oklahoma,Big 12,2103
2003,7,Oklahoma State,Big 12,1756
2003,7,Ole Miss,SEC,1590
2003,7,Oregon,Pac-10,1557
2003,7,Oregon State,Pac-10,1736
2003,7,Penn State,Big Ten,1712
2003,7,Pittsburgh,Big East,1762
2003,7,Purdue,Big Ten,1806
2003,7,Rice,Western Athletic,1222
2003,7,Rutgers,Big East,1311
2003,7,San Diego State,Mountain West,1403
2003,7,San José State,Western Athletic,1139
2003,7,SMU,Western Athletic,1053
2003,7,South Carolina,SEC,1629
2003,7,Southern Miss,Conference USA,1450
2003,7,South Florida,Conference USA,1595
2003,7,Stanford,Pac-10,1437
2003,7,Syracuse,Big East,1628
2003,7,TCU,Conference USA,1628
2003,7,Temple,Big East,1413
2003,7,Tennessee,SEC,1738
2003,7,Texas,Big 12,2026
2003,7,Texas A&M,Big 12,1513
2003,7,Texas State,Southland,1096
2003,7,Texas Tech,Big 12,1775
2003,7,Toledo,Mid-American,1584
2003,7,Troy,FBS Independents,1300
2003,7,Tulane,Conference USA,1431
2003,7,Tulsa,Western Athletic,1353
2003,7,UAB,Conference USA,1328
2003,7,UCF,Mid-American,1382
2003,7,UCLA,Pac-10,1657
2003,7,UConn,FBS Independents,1563
2003,7,UL Monroe,Sun Belt,996
2003,7,UNLV,Mountain West,1477
2003,7,USC,Pac-10,1967
2003,7,Utah,Mountain West,1585
2003,7,Utah State,Sun Belt,1244
2003,7,UTEP,Western Athletic,942
2003,7,Vanderbilt,SEC,1246
2003,7,Virginia,ACC,1737
2003,7,Virginia Tech,Big East,1924
2003,7,Wake Forest,ACC,1632
2003,7,Washington,Pac-10,1574
2003,7,Washington State,Pac-10,1863
2003,7,Western Kentucky,MVFC,1304
2003,7,Western Michigan,Mid-American,1386
2003,7,West Virginia,Big East,1613
2003,7,Wisconsin,Big Ten,1636
2003,7,Wyoming,Mountain West,1259
2003,8,Air Force,Mountain West,1618
2003,8,Akron,Mid-American,1347
2003,8,Alabama,SEC,1760
2003,8,App State,Southern,1391
2003,8,Arizona,Pac-10,1216
2003,8,Arizona State,Pac-10,1646
2003,8,Arkansas,SEC,1729
2003,8,Arkansas State,Sun Belt,935
2003,8,Army,Conference USA,1033
2003,8,Auburn,SEC,1786
2003,8,Ball State,Mid-American,1334
2003,8,Baylor,Big 12,992
2003,8,Boise State,Western Athletic,1748
2003,8,Boston College,Big East,1774
2003,8,Bowling Green,Mid-American,1700
2003,8,Buffalo,Mid-American,973
2003,8,BYU,Mountain West,1349
2003,8,California,Pac-10,1622
2003,8,Central Michigan,Mid-American,1172
2003,8,Cincinnati,Conference USA,1578
2003,8,Clemson,ACC,1600
2003,8,Colorado,Big 12,1474
2003,8,Colorado State,Mountain West,1709
2003,8,Duke,ACC,1187
2003,8,East Carolina,Conference USA,1204
2003,8,Eastern Michigan,Mid-American,958
2003,8,Florida,SEC,1816
2003,8,Florida Atlantic,FCS Independents,1304
2003,8,Florida State,ACC,1970
2003,8,Fresno State,Western Athletic,1379
2003,8,Georgia,SEC,1966
2003,8,Georgia Tech,ACC,1534
2003,8,Hawai'i,Western Athletic,1567
2003,8,Houston,Conference USA,1399
2003,8,Idaho,Sun Belt,1201
2003,8,Illinois,Big Ten,1382
2003,8,Indiana,Big Ten,1216
2003,8,Iowa,Big Ten,1857
2003,8,Iowa State,Big 12,1431
2003,8,James Madison,Atlantic 10,1374
2003,8,Kansas,Big 12,1344
2003,8,Kansas State,Big 12,1960
2003,8,Kent State,Mid-American,1169
2003,8,Kentucky,SEC,1554
2003,8,Liberty,Big South,1031
2003,8,Louisiana,Sun Belt,1008
2003,8,Louisiana Tech,Western Athletic,1347
2003,8,Louisville,Conference USA,1598
2003,8,LSU,SEC,1846
2003,8,Marshall,Mid-American,1611
2003,8,Maryland,ACC,1729
2003,8,Massachusetts,Atlantic 10,1404
2003,8,Memphis,Conference USA,1353
2003,8,Miami,Big East,2014
2003,8,Miami (OH),Mid-American,1769
2003,8,Michigan,Big Ten,1908
2003,8,Michigan State,Big Ten,1649
2003,8,Middle Tennessee,Sun Belt,1395
2003,8,Minnesota,Big Ten,1787
2003,8,Mississippi State,SEC,1367
2003,8,Missouri,Big 12,1573
2003,8,Navy,FBS Independents,1312
2003,8,NC State,ACC,1745
2003,8,Nebraska,Big 12,1689
2003,8,Nevada,Western Athletic,1401
2003,8,New Mexico,Mountain West,1642
2003,8,New Mexico State,Sun Belt,1214
2003,8,North Carolina,ACC,1306
2003,8,Northern Illinois,Mid-American,1595
2003,8,North Texas,Sun Belt,1468
2003,8,Northwestern,Big Ten,1275
2003,8,Notre Dame,FBS Independents,1544
2003,8,Ohio,Mid-American,1420
2003,8,Ohio State,Big Ten,1799
2003,8,Oklahoma,Big 12,2257
2003,8,Oklahoma State,Big 12,1766
2003,8,Ole Miss,SEC,1680
2003,8,Oregon,Pac-10,1413
2003,8,Oregon State,Pac-10,1736
2003,8,Penn State,Big Ten,1692
2003,8,Pittsburgh,Big East,1731
2003,8,Purdue,Big Ten,1826
2003,8,Rice,Western Athletic,1222
2003,8,Rutgers,Big East,1305
2003,8,San Diego State,Mountain West,1372
2003,8,San José State,Western Athletic,1168
2003,8,SMU,Western Athletic,1024
2003,8,South Carolina,SEC,1633
2003,8,Southern Miss,Conference USA,1447
2003,8,South Florida,Conference USA,1593
2003,8,Stanford,Pac-10,1433
2003,8,Syracuse,Big East,1538
2003,8,TCU,Conference USA,1630
2003,8,Temple,Big East,1384
2003,8,Tennessee,SEC,1686
2003,8,Texas,Big 12,1872
2003,8,Texas A&M,Big 12,1657
2003,8,Texas State,Southland,1096
2003,8,Texas Tech,Big 12,1823
2003,8,Toledo,Mid-American,1611
2003,8,Troy,FBS Independents,1300
2003,8,Tulane,Conference USA,1424
2003,8,Tulsa,Western Athletic,1364
2003,8,UAB,Conference USA,1399
2003,8,UCF,Mid-American,1303
2003,8,UCLA,Pac-10,1636
2003,8,UConn,FBS Independents,1563
2003,8,UL Monroe,Sun Belt,1002
2003,8,UNLV,Mountain West,1450
2003,8,USC,Pac-10,1971
2003,8,Utah,Mountain West,1616
2003,8,Utah State,Sun Belt,1172
2003,8,UTEP,Western Athletic,961
2003,8,Vanderbilt,SEC,1229
2003,8,Virginia,ACC,1734
2003,8,Virginia Tech,Big East,2014
2003,8,Wake Forest,ACC,1573
2003,8,Washington,Pac-10,1529
2003,8,Washington State,Pac-10,1863
2003,8,Western Kentucky,MVFC,1304
2003,8,Western Michigan,Mid-American,1389
2003,8,West Virginia,Big East,1619
2003,8,Wisconsin,Big Ten,1657
2003,8,Wyoming,Mountain West,1331
2003,9,Air Force,Mountain West,1607
2003,9,Akron,Mid-American,1371
2003,9,Alabama,SEC,1721
2003,9,App State,Southern,1391
2003,9,Arizona,Pac-10,1216
2003,9,Arizona State,Pac-10,1631
2003,9,Arkansas,SEC,1726
2003,9,Arkansas State,Sun Belt,935
2003,9,Army,Conference USA,1034
2003,9,Auburn,SEC,1824
2003,9,Ball State,Mid-American,1253
2003,9,Baylor,Big 12,1001
2003,9,Boise State,Western Athletic,1782
2003,9,Boston College,Big East,1682
2003,9,Bowling Green,Mid-American,1668
2003,9,Buffalo,Mid-American,1001
2003,9,BYU,Mountain West,1348
2003,9,California,Pac-10,1621
2003,9,Central Michigan,Mid-American,1171
2003,9,Cincinnati,Conference USA,1578
2003,9,Clemson,ACC,1601
2003,9,Colorado,Big 12,1451
2003,9,Colorado State,Mountain West,1720
2003,9,Duke,ACC,1153
2003,9,East Carolina,Conference USA,1203
2003,9,Eastern Michigan,Mid-American,990
2003,9,Florida,SEC,1819
2003,9,Florida Atlantic,FCS Independents,1304
2003,9,Florida International,FCS Independents,1464
2003,9,Florida State,ACC,1963
2003,9,Fresno State,Western Athletic,1379
2003,9,Georgia,SEC,1944
2003,9,Georgia Tech,ACC,1534
2003,9,Hawai'i,Western Athletic,1559
2003,9,Houston,Conference USA,1305
2003,9,Idaho,Sun Belt,1202
2003,9,Illinois,Big Ten,1327
2003,9,Indiana,Big Ten,1216
2003,9,Iowa,Big Ten,1838
2003,9,Iowa State,Big 12,1423
2003,9,James Madison,Atlantic 10,1374
2003,9,Kansas,Big 12,1335
2003,9,Kansas State,Big 12,1983
2003,9,Kent State,Mid-American,1186
2003,9,Kentucky,SEC,1590
2003,9,Liberty,Big South,1031
2003,9,Louisiana,Sun Belt,1011
2003,9,Louisiana Tech,Western Athletic,1355
2003,9,Louisville,Conference USA,1624
2003,9,LSU,SEC,1891
2003,9,Marshall,Mid-American,1583
2003,9,Maryland,ACC,1729
2003,9,Massachusetts,Atlantic 10,1404
2003,9,Memphis,Conference USA,1447
2003,9,Miami,Big East,2046
2003,9,Miami (OH),Mid-American,1850
2003,9,Michigan,Big Ten,1963
2003,9,Michigan State,Big Ten,1670
2003,9,Middle Tennessee,Sun Belt,1394
2003,9,Minnesota,Big Ten,1766
2003,9,Mississippi State,SEC,1329
2003,9,Missouri,Big 12,1586
2003,9,Navy,FBS Independents,1391
2003,9,NC State,ACC,1744
2003,9,Nebraska,Big 12,1787
2003,9,Nevada,Western Athletic,1411
2003,9,New Mexico,Mountain West,1672
2003,9,New Mexico State,Sun Belt,1211
2003,9,North Carolina,ACC,1321
2003,9,Northern Illinois,Mid-American,1641
2003,9,North Texas,Sun Belt,1465
2003,9,Northwestern,Big Ten,1275
2003,9,Notre Dame,FBS Independents,1508
2003,9,Ohio,Mid-American,1384
2003,9,Ohio State,Big Ten,1818
2003,9,Oklahoma,Big 12,2244
2003,9,Oklahoma State,Big 12,1767
2003,9,Ole Miss,SEC,1719
2003,9,Oregon,Pac-10,1413
2003,9,Oregon State,Pac-10,1657
2003,9,Penn State,Big Ten,1692
2003,9,Pittsburgh,Big East,1718
2003,9,Purdue,Big Ten,1821
2003,9,Rice,Western Athletic,1143
2003,9,Rutgers,Big East,1318
2003,9,San Diego State,Mountain West,1342
2003,9,San José State,Western Athletic,1168
2003,9,SMU,Western Athletic,990
2003,9,South Carolina,SEC,1588
2003,9,Southern Miss,Conference USA,1447
2003,9,South Florida,Conference USA,1593
2003,9,Stanford,Pac-10,1447
2003,9,Syracuse,Big East,1630
2003,9,TCU,Conference USA,1628
2003,9,Temple,Big East,1352
2003,9,Tennessee,SEC,1686
2003,9,Texas,Big 12,1880
2003,9,Texas A&M,Big 12,1559
2003,9,Texas State,Southland,1096
2003,9,Texas Tech,Big 12,1822
2003,9,Toledo,Mid-American,1612
2003,9,Troy,FBS Independents,1336
2003,9,Tulane,Conference USA,1398
2003,9,Tulsa,Western Athletic,1354
2003,9,UAB,Conference USA,1401
2003,9,UCF,Mid-American,1279
2003,9,UCLA,Pac-10,1637
2003,9,UConn,FBS Independents,1546
2003,9,UL Monroe,Sun Belt,1002
2003,9,UNLV,Mountain West,1423
2003,9,USC,Pac-10,2007
2003,9,Utah,Mountain West,1643
2003,9,Utah State,Sun Belt,1175
2003,9,UTEP,Western Athletic,961
2003,9,Vanderbilt,SEC,1251
2003,9,Virginia,ACC,1741
2003,9,Virginia Tech,Big East,2014
2003,9,Wake Forest,ACC,1607
2003,9,Washington,Pac-10,1608
2003,9,Washington State,Pac-10,1849
2003,9,Western Kentucky,MVFC,1304
2003,9,Western Michigan,Mid-American,1343
2003,9,West Virginia,Big East,1619
2003,9,Wisconsin,Big Ten,1662
2003,9,Wyoming,Mountain West,1332
2003,10,Air Force,Mountain West,1607
2003,10,Akron,Mid-American,1376
2003,10,Alabama,SEC,1702
2003,10,App State,Southern,1391
2003,10,Arizona,Pac-10,1188
2003,10,Arizona State,Pac-10,1622
2003,10,Arkansas,SEC,1703
2003,10,Arkansas State,Sun Belt,820
2003,10,Army,Conference USA,1045
2003,10,Auburn,SEC,1772
2003,10,Ball State,Mid-American,1358
2003,10,Baylor,Big 12,945
2003,10,Boise State,Western Athletic,1892
2003,10,Boston College,Big East,1680
2003,10,Bowling Green,Mid-American,1700
2003,10,Buffalo,Mid-American,1044
2003,10,BYU,Mountain West,1367
2003,10,California,Pac-10,1649
2003,10,Central Michigan,Mid-American,1141
2003,10,Cincinnati,Conference USA,1567
2003,10,Clemson,ACC,1597
2003,10,Colorado,Big 12,1485
2003,10,Colorado State,Mountain West,1720
2003,10,Duke,ACC,1180
2003,10,East Carolina,Conference USA,1205
2003,10,Eastern Michigan,Mid-American,990
2003,10,Florida,SEC,1819
2003,10,Florida Atlantic,FCS Independents,1304
2003,10,Florida International,FCS Independents,1464
2003,10,Florida State,ACC,1985
2003,10,Fresno State,Western Athletic,1377
2003,10,Georgia,SEC,1939
2003,10,Georgia Tech,ACC,1543
2003,10,Hawai'i,Western Athletic,1544
2003,10,Houston,Conference USA,1315
2003,10,Idaho,Sun Belt,1167
2003,10,Illinois,Big Ten,1306
2003,10,Indiana,Big Ten,1204
2003,10,Iowa,Big Ten,1849
2003,10,Iowa State,Big 12,1391
2003,10,James Madison,Atlantic 10,1374
2003,10,Kansas,Big 12,1310
2003,10,Kansas State,Big 12,2008
2003,10,Kent State,Mid-American,1217
2003,10,Kentucky,SEC,1625
2003,10,Liberty,Big South,1031
2003,10,Louisiana,Sun Belt,1046
2003,10,Louisiana Tech,Western Athletic,1375
2003,10,Louisville,Conference USA,1622
2003,10,LSU,SEC,1943
2003,10,Marshall,Mid-American,1608
2003,10,Maryland,ACC,1720
2003,10,Massachusetts,Atlantic 10,1404
2003,10,Memphis,Conference USA,1532
2003,10,Miami,Big East,2046
2003,10,Miami (OH),Mid-American,1819
2003,10,Michigan,Big Ten,2020
2003,10,Michigan State,Big Ten,1670
2003,10,Middle Tennessee,Sun Belt,1390
2003,10,Minnesota,Big Ten,1787
2003,10,Mississippi State,SEC,1294
2003,10,Missouri,Big 12,1702
2003,10,Navy,FBS Independents,1391
2003,10,NC State,ACC,1717
2003,10,Nebraska,Big 12,1819
2003,10,Nevada,Western Athletic,1391
2003,10,New Mexico,Mountain West,1696
2003,10,New Mexico State,Sun Belt,1209
2003,10,North Carolina,ACC,1325
2003,10,Northern Illinois,Mid-American,1609
2003,10,North Texas,Sun Belt,1469
2003,10,Northwestern,Big Ten,1319
2003,10,Notre Dame,FBS Independents,1510
2003,10,Ohio,Mid-American,1341
2003,10,Ohio State,Big Ten,1830
2003,10,Oklahoma,Big 12,2210
2003,10,Oklahoma State,Big 12,1819
2003,10,Ole Miss,SEC,1742
2003,10,Oregon,Pac-10,1516
2003,10,Oregon State,Pac-10,1659
2003,10,Penn State,Big Ten,1681
2003,10,Pittsburgh,Big East,1756
2003,10,Purdue,Big Ten,1764
2003,10,Rice,Western Athletic,1145
2003,10,Rutgers,Big East,1360
2003,10,San Diego State,Mountain West,1347
2003,10,San José State,Western Athletic,1058
2003,10,SMU,Western Athletic,981
2003,10,South Carolina,SEC,1584
2003,10,Southern Miss,Conference USA,1513
2003,10,South Florida,Conference USA,1527
2003,10,Stanford,Pac-10,1344
2003,10,Syracuse,Big East,1592
2003,10,TCU,Conference USA,1618
2003,10,Temple,Big East,1310
2003,10,Tennessee,SEC,1705
2003,10,Texas,Big 12,1936
2003,10,Texas A&M,Big 12,1507
2003,10,Texas State,Southland,1096
2003,10,Texas Tech,Big 12,1706
2003,10,Toledo,Mid-American,1507
2003,10,Troy,FBS Independents,1318
2003,10,Tulane,Conference USA,1313
2003,10,Tulsa,Western Athletic,1363
2003,10,UAB,Conference USA,1406
2003,10,UCF,Mid-American,1309
2003,10,UCLA,Pac-10,1646
2003,10,UConn,FBS Independents,1541
2003,10,UL Monroe,Sun Belt,1004
2003,10,UNLV,Mountain West,1404
2003,10,USC,Pac-10,2016
2003,10,Utah,Mountain West,1619
2003,10,Utah State,Sun Belt,1290
2003,10,UTEP,Western Athletic,976
2003,10,Vanderbilt,SEC,1255
2003,10,Virginia,ACC,1759
2003,10,Virginia Tech,Big East,1917
2003,10,Wake Forest,ACC,1585
2003,10,Washington,Pac-10,1599
2003,10,Washington State,Pac-10,1847
2003,10,Western Kentucky,MVFC,1304
2003,10,Western Michigan,Mid-American,1318
2003,10,West Virginia,Big East,1716
2003,10,Wisconsin,Big Ten,1618
2003,10,Wyoming,Mountain West,1327
2003,11,Air Force,Mountain West,1605
