year,week,team,conference,elo
2000,3,Maryland,ACC,1491
2000,3,Memphis,Conference USA,1547
2000,3,Miami,Big East,1789
2000,3,Miami (OH),Mid-American,1570
2000,3,Michigan,Big Ten,1846
2000,3,Michigan State,Big Ten,1750
2000,3,Middle Tennessee,FBS Independents,1091
2000,3,Minnesota,Big Ten,1673
2000,3,Mississippi State,SEC,1667
2000,3,Missouri,Big 12,1235
2000,3,Navy,FBS Independents,1419
2000,3,NC State,ACC,1437
2000,3,Nebraska,Big 12,1949
2000,3,Nevada,Western Athletic,1195
2000,3,New Mexico,Mountain West,1284
2000,3,New Mexico State,Big West,1280
2000,3,North Carolina,ACC,1576
2000,3,Northern Illinois,Mid-American,1321
2000,3,North Texas,Big West,1164
2000,3,Northwestern,Big Ten,1455
2000,3,Notre Dame,FBS Independents,1653
2000,3,Ohio,Mid-American,1474
2000,3,Ohio State,Big Ten,1718
2000,3,Oklahoma,Big 12,1823
2000,3,Oklahoma State,Big 12,1523
2000,3,Ole Miss,SEC,1664
2000,3,Oregon,Pac-10,1768
2000,3,Oregon State,Pac-10,1597
2000,3,Penn State,Big Ten,1814
2000,3,Pittsburgh,Big East,1507
2000,3,Purdue,Big Ten,1824
2000,3,Rice,Western Athletic,1386
2000,3,Rutgers,Big East,1288
2000,3,San Diego State,Mountain West,1470
2000,3,San José State,Western Athletic,1228
2000,3,SMU,Western Athletic,1372
2000,3,South Carolina,SEC,1487
2000,3,Southern Miss,Conference USA,1686
2000,3,South Florida,FBS Independents,1414
2000,3,Stanford,Pac-10,1542
2000,3,Syracuse,Big East,1685
2000,3,TCU,Western Athletic,1652
2000,3,Temple,Big East,1293
2000,3,Tennessee,SEC,1833
2000,3,Texas,Big 12,1771
2000,3,Texas A&M,Big 12,1725
2000,3,Texas Tech,Big 12,1530
2000,3,Toledo,Mid-American,1614
2000,3,Tulane,Conference USA,1312
2000,3,Tulsa,Western Athletic,1246
2000,3,UCF,FBS Independents,1464
2000,3,UCLA,Pac-10,1495
2000,3,UConn,FBS Independents,1457
2000,3,UL Monroe,FBS Independents,1109
2000,3,UNLV,Mountain West,1219
2000,3,USC,Pac-10,1718
2000,3,Utah,Mountain West,1624
2000,3,Utah State,Big West,1314
2000,3,UTEP,Western Athletic,1297
2000,3,Vanderbilt,SEC,1385
2000,3,Virginia,ACC,1497
2000,3,Virginia Tech,Big East,1954
2000,3,Wake Forest,ACC,1494
2000,3,Washington,Pac-10,1652
2000,3,Washington State,Pac-10,1410
2000,3,Western Michigan,Mid-American,1492
2000,3,West Virginia,Big East,1630
2000,3,Wisconsin,Big Ten,1850
2000,3,Wyoming,Mountain West,1334
2000,4,Air Force,Mountain West,1606
2000,4,Akron,Mid-American,1394
2000,4,Alabama,SEC,1643
2000,4,Arizona,Pac-10,1604
2000,4,Arizona State,Pac-10,1522
2000,4,Arkansas,SEC,1692
2000,4,Arkansas State,Big West,1159
2000,4,Army,Conference USA,1270
2000,4,Auburn,SEC,1666
2000,4,Ball State,Mid-American,1057
2000,4,Baylor,Big 12,1203
2000,4,Boise State,Big West,1570
2000,4,Boston College,Big East,1534
2000,4,Bowling Green,Mid-American,1276
2000,4,Buffalo,Mid-American,855
2000,4,BYU,Mountain West,1534
2000,4,California,Pac-10,1486
2000,4,Central Michigan,Mid-American,1185
2000,4,Cincinnati,Conference USA,1460
2000,4,Clemson,ACC,1856
2000,4,Colorado,Big 12,1675
2000,4,Colorado State,Mountain West,1602
2000,4,Duke,ACC,1146
2000,4,East Carolina,Conference USA,1644
2000,4,Eastern Michigan,Mid-American,1231
2000,4,Florida,SEC,1820
2000,4,Florida State,ACC,2043
2000,4,Fresno State,Western Athletic,1521
2000,4,Georgia,SEC,1615
2000,4,Georgia Tech,ACC,1718
2000,4,Houston,Conference USA,1456
2000,4,Idaho,Big West,1303
2000,4,Illinois,Big Ten,1778
2000,4,Indiana,Big Ten,1394
2000,4,Iowa,Big Ten,1340
2000,4,Iowa State,Big 12,1491
2000,4,Kansas,Big 12,1392
2000,4,Kansas State,Big 12,2111
2000,4,Kent State,Mid-American,1136
2000,4,Kentucky,SEC,1558
2000,4,Louisiana,FBS Independents,1034
2000,4,Louisiana Tech,FBS Independents,1304
2000,4,Louisville,Conference USA,1548
2000,4,LSU,SEC,1542
2000,4,Marshall,Mid-American,1783
2000,4,Maryland,ACC,1477
2000,4,Memphis,Conference USA,1529
2000,4,Miami,Big East,1789
2000,4,Miami (OH),Mid-American,1561
2000,4,Michigan,Big Ten,1840
2000,4,Michigan State,Big Ten,1727
2000,4,Middle Tennessee,FBS Independents,1091
2000,4,Minnesota,Big Ten,1689
2000,4,Mississippi State,SEC,1694
2000,4,Missouri,Big 12,1258
2000,4,Navy,FBS Independents,1378
2000,4,NC State,ACC,1548
2000,4,Nebraska,Big 12,1949
2000,4,Nevada,Western Athletic,1195
2000,4,New Mexico,Mountain West,1288
2000,4,New Mexico State,Big West,1276
2000,4,North Carolina,ACC,1479
2000,4,Northern Illinois,Mid-American,1321
2000,4,North Texas,Big West,1062
2000,4,Northwestern,Big Ten,1408
2000,4,Notre Dame,FBS Independents,1656
2000,4,Ohio,Mid-American,1474
2000,4,Ohio State,Big Ten,1727
2000,4,Oklahoma,Big 12,1823
2000,4,Oklahoma State,Big 12,1576
2000,4,Ole Miss,SEC,1654
2000,4,Oregon,Pac-10,1795
2000,4,Oregon State,Pac-10,1597
2000,4,Penn State,Big Ten,1765
2000,4,Pittsburgh,Big East,1556
2000,4,Purdue,Big Ten,1821
2000,4,Rice,Western Athletic,1361
2000,4,Rutgers,Big East,1229
2000,4,San Diego State,Mountain West,1452
2000,4,San José State,Western Athletic,1228
2000,4,SMU,Western Athletic,1261
2000,4,South Carolina,SEC,1561
2000,4,Southern Miss,Conference USA,1741
2000,4,South Florida,FBS Independents,1457
2000,4,Stanford,Pac-10,1546
2000,4,Syracuse,Big East,1685
2000,4,TCU,Western Athletic,1699
2000,4,Temple,Big East,1332
2000,4,Tennessee,SEC,1825
2000,4,Texas,Big 12,1767
2000,4,Texas A&M,Big 12,1751
2000,4,Texas Tech,Big 12,1545
2000,4,Toledo,Mid-American,1614
2000,4,Tulane,Conference USA,1296
2000,4,Tulsa,Western Athletic,1271
2000,4,UAB,Conference USA,1398
2000,4,UCF,FBS Independents,1437
2000,4,UCLA,Pac-10,1501
2000,4,UConn,FBS Independents,1428
2000,4,UL Monroe,FBS Independents,1109
2000,4,UNLV,Mountain West,1321
2000,4,USC,Pac-10,1718
2000,4,Utah,Mountain West,1559
2000,4,Utah State,Big West,1314
2000,4,UTEP,Western Athletic,1271
2000,4,Vanderbilt,SEC,1395
2000,4,Virginia,ACC,1502
2000,4,Virginia Tech,Big East,2013
2000,4,Wake Forest,ACC,1385
2000,4,Washington,Pac-10,1658
2000,4,Washington State,Pac-10,1475
2000,4,Western Michigan,Mid-American,1492
2000,4,West Virginia,Big East,1644
2000,4,Wisconsin,Big Ten,1846
2000,4,Wyoming,Mountain West,1372
2000,5,Air Force,Mountain West,1620
2000,5,Akron,Mid-American,1403
2000,5,Alabama,SEC,1636
2000,5,Arizona,Pac-10,1604
2000,5,Arizona State,Pac-10,1559
2000,5,Arkansas,SEC,1699
2000,5,Arkansas State,Big West,1084
2000,5,Army,Conference USA,1271
2000,5,Auburn,SEC,1672
2000,5,Ball State,Mid-American,1057
2000,5,Baylor,Big 12,1259
2000,5,Boise State,Big West,1628
2000,5,Boston College,Big East,1632
2000,5,Bowling Green,Mid-American,1269
2000,5,Buffalo,Mid-American,862
2000,5,BYU,Mountain West,1532
2000,5,California,Pac-10,1461
2000,5,Central Michigan,Mid-American,1127
2000,5,Cincinnati,Conference USA,1349
2000,5,Clemson,ACC,1872
2000,5,Colorado,Big 12,1675
2000,5,Colorado State,Mountain West,1602
2000,5,Duke,ACC,1127
2000,5,East Carolina,Conference USA,1685
2000,5,Eastern Michigan,Mid-American,1223
2000,5,Florida,SEC,1863
2000,5,Florida State,ACC,2070
2000,5,Fresno State,Western Athletic,1546
2000,5,Georgia,SEC,1677
2000,5,Georgia Tech,ACC,1698
2000,5,Hawai'i,Western Athletic,1298
2000,5,Houston,Conference USA,1355
2000,5,Idaho,Big West,1321
2000,5,Illinois,Big Ten,1776
2000,5,Indiana,Big Ten,1505
2000,5,Iowa,Big Ten,1329
2000,5,Iowa State,Big 12,1491
2000,5,Kansas,Big 12,1392
2000,5,Kansas State,Big 12,2118
2000,5,Kent State,Mid-American,1102
2000,5,Kentucky,SEC,1515
2000,5,Louisiana,FBS Independents,1034
2000,5,Louisiana Tech,FBS Independents,1279
2000,5,Louisville,Conference USA,1521
2000,5,LSU,SEC,1528
2000,5,Marshall,Mid-American,1764
2000,5,Maryland,ACC,1482
2000,5,Memphis,Conference USA,1528
2000,5,Miami,Big East,1878
2000,5,Miami (OH),Mid-American,1595
2000,5,Michigan,Big Ten,1842
2000,5,Michigan State,Big Ten,1731
2000,5,Middle Tennessee,FBS Independents,1086
2000,5,Minnesota,Big Ten,1672
2000,5,Mississippi State,SEC,1687
2000,5,Missouri,Big 12,1258
2000,5,Navy,FBS Independents,1280
2000,5,NC State,ACC,1568
2000,5,Nebraska,Big 12,1960
2000,5,Nevada,Western Athletic,1223
2000,5,New Mexico,Mountain West,1288
2000,5,New Mexico State,Big West,1214
2000,5,North Carolina,ACC,1498
2000,5,Northern Illinois,Mid-American,1315
2000,5,North Texas,Big West,1055
2000,5,Northwestern,Big Ten,1443
2000,5,Notre Dame,FBS Independents,1652
2000,5,Ohio,Mid-American,1465
2000,5,Ohio State,Big Ten,1846
2000,5,Oklahoma,Big 12,1845
2000,5,Oklahoma State,Big 12,1538
2000,5,Ole Miss,SEC,1654
2000,5,Oregon,Pac-10,1810
2000,5,Oregon State,Pac-10,1666
2000,5,Penn State,Big Ten,1646
2000,5,Pittsburgh,Big East,1554
2000,5,Purdue,Big Ten,1838
2000,5,Rice,Western Athletic,1339
2000,5,Rutgers,Big East,1231
2000,5,San Diego State,Mountain West,1383
2000,5,San José State,Western Athletic,1243
2000,5,SMU,Western Athletic,1238
2000,5,South Carolina,SEC,1568
2000,5,Southern Miss,Conference USA,1779
2000,5,South Florida,FBS Independents,1401
2000,5,Stanford,Pac-10,1546
2000,5,Syracuse,Big East,1644
2000,5,TCU,Western Athletic,1774
2000,5,Temple,Big East,1340
2000,5,Tennessee,SEC,1934
2000,5,Texas,Big 12,1868
2000,5,Texas A&M,Big 12,1751
2000,5,Texas Tech,Big 12,1545
2000,5,Toledo,Mid-American,1597
2000,5,Tulane,Conference USA,1319
2000,5,Tulsa,Western Athletic,1296
2000,5,UAB,Conference USA,1412
2000,5,UCF,FBS Independents,1437
2000,5,UCLA,Pac-10,1486
2000,5,UConn,FBS Independents,1428
2000,5,UL Monroe,FBS Independents,1000
2000,5,UNLV,Mountain West,1323
2000,5,USC,Pac-10,1703
2000,5,Utah,Mountain West,1545
2000,5,Utah State,Big West,1277
2000,5,UTEP,Western Athletic,1376
2000,5,Vanderbilt,SEC,1414
2000,5,Virginia,ACC,1486
2000,5,Virginia Tech,Big East,2013
2000,5,Wake Forest,ACC,1385
2000,5,Washington,Pac-10,1658
2000,5,Washington State,Pac-10,1457
2000,5,Western Michigan,Mid-American,1509
2000,5,West Virginia,Big East,1555
2000,5,Wisconsin,Big Ten,1811
2000,5,Wyoming,Mountain West,1344
2000,6,Air Force,Mountain West,1536
2000,6,Akron,Mid-American,1460
2000,6,Alabama,SEC,1648
2000,6,Arizona,Pac-10,1661
2000,6,Arizona State,Pac-10,1545
2000,6,Arkansas,SEC,1608
2000,6,Arkansas State,Big West,1084
2000,6,Army,Conference USA,1271
2000,6,Auburn,SEC,1731
2000,6,Ball State,Mid-American,1008
2000,6,Baylor,Big 12,1249
2000,6,Boise State,Big West,1628
2000,6,Boston College,Big East,1635
2000,6,Bowling Green,Mid-American,1270
2000,6,Buffalo,Mid-American,869
2000,6,BYU,Mountain West,1472
2000,6,California,Pac-10,1454
2000,6,Central Michigan,Mid-American,1069
2000,6,Cincinnati,Conference USA,1343
2000,6,Clemson,ACC,1872
2000,6,Colorado,Big 12,1663
2000,6,Colorado State,Mountain West,1643
2000,6,Duke,ACC,1127
2000,6,East Carolina,Conference USA,1685
2000,6,Eastern Michigan,Mid-American,1193
2000,6,Florida,SEC,1826
2000,6,Florida State,ACC,2150
2000,6,Fresno State,Western Athletic,1546
2000,6,Georgia,SEC,1768
2000,6,Georgia Tech,ACC,1711
2000,6,Hawai'i,Western Athletic,1277
2000,6,Houston,Conference USA,1354
2000,6,Idaho,Big West,1321
2000,6,Illinois,Big Ten,1667
2000,6,Indiana,Big Ten,1514
2000,6,Iowa,Big Ten,1320
2000,6,Iowa State,Big 12,1501
2000,6,Kansas,Big 12,1392
2000,6,Kansas State,Big 12,2130
2000,6,Kent State,Mid-American,1101
2000,6,Kentucky,SEC,1488
2000,6,Louisiana,FBS Independents,952
2000,6,Louisiana Tech,FBS Independents,1279
2000,6,Louisville,Conference USA,1555
2000,6,LSU,SEC,1563
2000,6,Marshall,Mid-American,1757
2000,6,Maryland,ACC,1402
2000,6,Memphis,Conference USA,1503
2000,6,Miami,Big East,1969
2000,6,Miami (OH),Mid-American,1538
2000,6,Michigan,Big Ten,1843
2000,6,Michigan State,Big Ten,1645
2000,6,Middle Tennessee,FBS Independents,1086
2000,6,Minnesota,Big Ten,1781
2000,6,Mississippi State,SEC,1724
2000,6,Missouri,Big 12,1277
2000,6,Navy,FBS Independents,1270
2000,6,NC State,ACC,1568
2000,6,Nebraska,Big 12,1941
2000,6,Nevada,Western Athletic,1182
2000,6,New Mexico,Mountain West,1394
2000,6,New Mexico State,Big West,1208
2000,6,North Carolina,ACC,1485
2000,6,Northern Illinois,Mid-American,1364
2000,6,North Texas,Big West,1055
2000,6,Northwestern,Big Ten,1529
2000,6,Notre Dame,FBS Independents,1652
2000,6,Ohio,Mid-American,1443
2000,6,Ohio State,Big Ten,1846
2000,6,Oklahoma,Big 12,1845
2000,6,Oklahoma State,Big 12,1481
2000,6,Ole Miss,SEC,1681
2000,6,Oregon,Pac-10,1811
2000,6,Oregon State,Pac-10,1686
2000,6,Penn State,Big Ten,1649
2000,6,Pittsburgh,Big East,1554
2000,6,Purdue,Big Ten,1835
2000,6,Rice,Western Athletic,1305
2000,6,Rutgers,Big East,1140
2000,6,San Diego State,Mountain West,1383
2000,6,San José State,Western Athletic,1277
2000,6,SMU,Western Athletic,1239
2000,6,South Carolina,SEC,1556
2000,6,Southern Miss,Conference USA,1804
2000,6,South Florida,FBS Independents,1425
2000,6,Stanford,Pac-10,1489
2000,6,Syracuse,Big East,1704
2000,6,TCU,Western Athletic,1784
2000,6,Temple,Big East,1346
2000,6,Tennessee,SEC,1899
2000,6,Texas,Big 12,1925
2000,6,Texas A&M,Big 12,1772
2000,6,Texas Tech,Big 12,1524
2000,6,Toledo,Mid-American,1655
2000,6,Tulane,Conference USA,1325
2000,6,Tulsa,Western Athletic,1317
2000,6,UAB,Conference USA,1494
2000,6,UCF,FBS Independents,1467
2000,6,UCLA,Pac-10,1500
2000,6,UConn,FBS Independents,1394
2000,6,UL Monroe,FBS Independents,995
2000,6,UNLV,Mountain West,1407
2000,6,USC,Pac-10,1683
2000,6,Utah,Mountain West,1570
2000,6,Utah State,Big West,1252
2000,6,UTEP,Western Athletic,1382
2000,6,Vanderbilt,SEC,1355
2000,6,Virginia,ACC,1517
2000,6,Virginia Tech,Big East,2010
2000,6,Wake Forest,ACC,1354
2000,6,Washington,Pac-10,1657
2000,6,Washington State,Pac-10,1464
2000,6,Western Michigan,Mid-American,1531
2000,6,West Virginia,Big East,1549
2000,6,Wisconsin,Big Ten,1810
2000,6,Wyoming,Mountain West,1238
2000,7,Air Force,Mountain West,1542
2000,7,Akron,Mid-American,1457
2000,7,Alabama,SEC,1648
2000,7,Arizona,Pac-10,1701
2000,7,Arizona State,Pac-10,1582
2000,7,Arkansas,SEC,1665
2000,7,Arkansas State,Big West,1082
2000,7,Army,Conference USA,1221
2000,7,Auburn,SEC,1721
2000,7,Ball State,Mid-American,1060
2000,7,Baylor,Big 12,1207
2000,7,Boise State,Big West,1609
2000,7,Boston College,Big East,1760
2000,7,Bowling Green,Mid-American,1273
2000,7,Buffalo,Mid-American,871
2000,7,BYU,Mountain West,1508
2000,7,California,Pac-10,1417
2000,7,Central Michigan,Mid-American,1066
2000,7,Cincinnati,Conference USA,1381
2000,7,Clemson,ACC,1865
2000,7,Colorado,Big 12,1685
2000,7,Colorado State,Mountain West,1641
2000,7,Duke,ACC,1127
2000,7,East Carolina,Conference USA,1665
2000,7,Eastern Michigan,Mid-American,1169
2000,7,Florida,SEC,1881
2000,7,Florida State,ACC,2147
2000,7,Fresno State,Western Athletic,1537
2000,7,Georgia,SEC,1798
2000,7,Georgia Tech,ACC,1711
2000,7,Hawai'i,Western Athletic,1278
2000,7,Houston,Conference USA,1316
2000,7,Idaho,Big West,1316
2000,7,Illinois,Big Ten,1667
2000,7,Indiana,Big Ten,1472
2000,7,Iowa,Big Ten,1340
2000,7,Iowa State,Big 12,1491
2000,7,Kansas,Big 12,1368
2000,7,Kansas State,Big 12,2154
2000,7,Kent State,Mid-American,1104
2000,7,Kentucky,SEC,1488
2000,7,Louisiana,FBS Independents,967
2000,7,Louisiana Tech,FBS Independents,1181
2000,7,Louisville,Conference USA,1602
2000,7,LSU,SEC,1508
2000,7,Marshall,Mid-American,1679
2000,7,Maryland,ACC,1397
2000,7,Memphis,Conference USA,1523
2000,7,Miami,Big East,1972
2000,7,Miami (OH),Mid-American,1486
2000,7,Michigan,Big Ten,1842
2000,7,Michigan State,Big Ten,1625
2000,7,Middle Tennessee,FBS Independents,1184
2000,7,Minnesota,Big Ten,1787
2000,7,Mississippi State,SEC,1734
2000,7,Missouri,Big 12,1324
2000,7,Navy,FBS Independents,1264
2000,7,NC State,ACC,1575
2000,7,Nebraska,Big 12,1951
2000,7,Nevada,Western Athletic,1126
2000,7,New Mexico,Mountain West,1396
2000,7,New Mexico State,Big West,1258
2000,7,North Carolina,ACC,1485
2000,7,Northern Illinois,Mid-American,1422
2000,7,North Texas,Big West,1055
2000,7,Northwestern,Big Ten,1571
2000,7,Notre Dame,FBS Independents,1651
2000,7,Ohio,Mid-American,1441
2000,7,Ohio State,Big Ten,1880
2000,7,Oklahoma,Big 12,2010
2000,7,Oklahoma State,Big 12,1434
2000,7,Ole Miss,SEC,1683
2000,7,Oregon,Pac-10,1811
2000,7,Oregon State,Pac-10,1685
2000,7,Penn State,Big Ten,1643
2000,7,Pittsburgh,Big East,1553
2000,7,Purdue,Big Ten,1836
2000,7,Rice,Western Athletic,1314
2000,7,Rutgers,Big East,1140
2000,7,San Diego State,Mountain West,1462
2000,7,San José State,Western Athletic,1339
2000,7,SMU,Western Athletic,1177
2000,7,South Carolina,SEC,1556
2000,7,Southern Miss,Conference USA,1852
2000,7,South Florida,FBS Independents,1377
2000,7,Stanford,Pac-10,1490
2000,7,Syracuse,Big East,1705
